,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
0,513310,中韩半导体ETF,2.795,2.6541,-5.31,0.218,8.46,16652141,4551583974.0,2.66,2.807,2.642,2.577,6.4,,2.02,4.28,9136612,7515529,223855888.0,4.92,231203504.0,5.08,-7347616.0,-0.16,-98182064.0,-2.16,-125673824.0,-2.76,6319,2.792,2.795,1446427008.0,4042763487,4042763487,2026-01-05,2026-01-05 16:11:57+08:00
1,159506,港股通医疗ETF富国,1.397,1.4019,0.35,0.093,7.13,4604303,631455448.332,1.317,1.397,1.313,1.304,6.44,19.39,3.24,32.09,2741106,1863197,14666422.0,2.32,-2700426.0,-0.43,17366848.0,2.75,-11196330.0,-1.77,-3470086.0,-0.55,-21457,1.397,1.398,2374536976.0,3317228155,3317228155,2026-01-05,2026-01-05 15:34:15+08:00
2,159570,港股通创新药ETF,1.643,1.6402,-0.17,0.107,6.97,20596156,3327135722.311,1.54,1.652,1.54,1.536,7.29,14.89,3.55,19.74,10823570,9772587,-138631248.0,-4.17,-191270320.0,-5.75,52639072.0,1.58,230043808.0,6.91,-91412554.0,-2.75,-88803,1.643,1.644,13830597120.0,22723671068,22723671068,2026-01-05,2026-01-05 15:35:00+08:00
3,562600,医疗器械ETF,0.908,0.8905,-1.97,0.059,6.95,613621,54272100.0,0.857,0.915,0.85,0.849,7.66,15.98,3.5,92.27,423328,190293,-6205153.0,-11.43,-5540783.0,-10.21,-664370.0,-1.22,5686295.0,10.48,518858.0,0.96,-89,0.915,0.916,383937408.0,348615166,348615166,2026-01-05,2026-01-05 16:11:49+08:00
4,159793,线上消费ETF基金,1.094,1.079,-1.39,0.071,6.94,72775,7948969.765,1.026,1.125,1.026,1.023,9.68,29.39,17.64,-66.94,35648,37127,-688342.0,-8.66,-1678704.0,-21.12,990362.0,12.46,426365.0,5.36,261978.0,3.3,-1246,1.094,1.095,24758908.0,27086245,27086245,2026-01-05,2026-01-05 15:34:06+08:00
5,159615,恒生生物科技ETF,1.162,1.1621,0.01,0.07,6.41,889953,101190093.2,1.093,1.162,1.093,1.092,6.32,19.95,4.07,49.53,522211,367742,10555649.0,10.43,1297587.0,1.28,9258062.0,9.15,-6134445.0,-6.06,-4421206.0,-4.37,-6876,1.162,1.163,446054896.0,518315789,518315789,2026-01-05,2026-01-05 15:34:45+08:00
6,513200,港股通医药ETF易方达,1.097,1.0961,-0.08,0.066,6.4,1891729,203619742.0,1.038,1.098,1.036,1.031,6.01,10.98,2.87,-46.31,1152627,739101,15640114.0,7.68,-68363.0,-0.03,15708477.0,7.71,-10571813.0,-5.19,-5068302.0,-2.49,1775,1.096,1.097,1722282096.0,1889343459,1889343459,2026-01-05,2026-01-05 16:11:40+08:00
7,159883,医疗器械ETF,0.518,0.5133,-0.92,0.031,6.37,12224752,624010727.634,0.489,0.518,0.489,0.487,5.95,16.22,4.56,62.24,8593031,3631721,15799635.0,2.53,-8577712.0,-1.37,24377347.0,3.91,-2446696.0,-0.39,-13352949.0,-2.14,-324721,0.518,0.519,7535037952.0,3903149659,3903149659,2026-01-05,2026-01-05 15:34:48+08:00
8,513280,恒生生物科技ETF,1.139,1.1348,-0.37,0.068,6.35,822396,92111552.0,1.073,1.14,1.073,1.071,6.26,19.91,3.26,-1.92,526503,295893,1946485.0,2.11,85906.0,0.09,1860579.0,2.02,1564662.0,1.7,-3511146.0,-3.81,-5,1.139,1.14,413114496.0,470537411,470537411,2026-01-05,2026-01-05 16:11:52+08:00
9,159892,恒生医药ETF,0.806,0.8101,0.51,0.048,6.33,16936345,1340799710.413,0.763,0.806,0.763,0.758,5.67,23.32,3.37,-47.15,9899214,7037132,123702288.0,9.23,129559296.0,9.66,-5857008.0,-0.44,-88930601.0,-6.63,-34771682.0,-2.59,199729,0.805,0.806,7263266048.0,5854192435,5854192435,2026-01-05,2026-01-05 15:34:33+08:00
