日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-02-18,5.14,2.8,49287289.0,6.91,28259204.0,3.96,21028085.0,2.95,-28172759.0,-3.95,-21114530.0,-2.96
2025-02-19,5.12,-0.39,33775415.0,8.9,18315157.0,4.83,15460258.0,4.07,-15452540.0,-4.07,-18322875.0,-4.83
2025-02-20,5.32,3.91,72645148.0,10.1,-943932.0,-0.13,73589080.0,10.23,-60174611.0,-8.37,-12470537.0,-1.73
2025-02-21,5.32,0.0,11772176.0,2.5,26309246.0,5.59,-14537070.0,-3.09,-5735666.0,-1.22,-6036511.0,-1.28
2025-02-24,5.3,-0.38,63156792.0,14.58,12311322.0,2.84,50845470.0,11.74,-13741349.0,-3.17,-49415442.0,-11.41
2025-02-25,5.34,0.75,48375861.0,10.09,28319303.0,5.91,20056558.0,4.18,-34056629.0,-7.1,-14319232.0,-2.99
2025-02-26,5.51,3.18,57295245.0,9.51,24821254.0,4.12,32473991.0,5.39,-38311663.0,-6.36,-18983582.0,-3.15
2025-02-27,5.46,-0.91,29591866.0,10.45,33223078.0,11.73,-3631212.0,-1.28,-27177587.0,-9.6,-2414279.0,-0.85
2025-02-28,5.46,0.0,18394126.0,5.27,38010493.0,10.88,-19616367.0,-5.62,-22491504.0,-6.44,4097379.0,1.17
2025-03-03,5.43,-0.55,-36319464.0,-10.43,-58050285.0,-16.67,21730821.0,6.24,16231778.0,4.66,20087687.0,5.77
2025-03-04,5.42,-0.18,-1256964.0,-0.51,1972374.0,0.79,-3229338.0,-1.3,4634064.0,1.87,-3377098.0,-1.36
2025-03-05,5.37,-0.92,-18130654.0,-7.21,-9487645.0,-3.77,-8643009.0,-3.44,1347108.0,0.54,16783546.0,6.67
2025-03-06,5.22,-2.79,-92070020.0,-15.56,-126317930.0,-21.35,34247910.0,5.79,38085174.0,6.44,53984848.0,9.12
2025-03-07,5.18,-0.77,9161080.0,2.83,-9295112.0,-2.87,18456192.0,5.7,-16223666.0,-5.01,7062586.0,2.18
2025-03-10,5.15,-0.58,25909855.0,8.07,3785715.0,1.18,22124140.0,6.89,14335870.0,4.46,-40245724.0,-12.53
2025-03-11,5.22,1.36,37269977.0,9.5,38567190.0,9.83,-1297213.0,-0.33,-13739482.0,-3.5,-23530494.0,-6.0
2025-03-12,5.25,0.57,4741923.0,1.29,3084204.0,0.84,1657719.0,0.45,26205640.0,7.12,-30947563.0,-8.4
2025-03-13,5.31,1.14,-3531951.0,-0.74,-23226353.0,-4.89,19694402.0,4.15,12663767.0,2.67,-9131816.0,-1.92
2025-03-14,5.29,-0.38,-35571566.0,-8.14,-25024660.0,-5.72,-10546906.0,-2.41,46169924.0,10.56,-10598359.0,-2.42
2025-03-17,5.31,0.38,-28028815.0,-8.62,-27649881.0,-8.51,-378934.0,-0.12,22605385.0,6.95,5423430.0,1.67
2025-03-18,5.19,-2.26,-6963555.0,-1.3,-36391458.0,-6.77,29427903.0,5.48,62430868.0,11.62,-55467314.0,-10.32
2025-03-19,5.22,0.58,1529680.0,0.38,-15336949.0,-3.81,16866629.0,4.19,-9177465.0,-2.28,7647785.0,1.9
