序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301632,广东建科,34.01,418.45%,84.59%,10.61亿,8.87亿,1.73亿,19.48亿
2,300815,玉禾田,29.5,20.02%,19.66%,9.17亿,12.57亿,-3.41亿,21.74亿
3,688584,上海合晶,22.86,20.00%,7.47%,2.39亿,3.16亿,-7714.17万,5.55亿
4,301486,致尚科技,91.97,20.00%,29.00%,9.96亿,7.81亿,2.14亿,17.77亿
5,688256,寒武纪,848.88,20.00%,4.58%,81.24亿,70.02亿,11.21亿,151.26亿
6,300637,扬帆新材,14.64,20.00%,13.15%,2.07亿,2.31亿,-2423.70万,4.38亿
7,300620,光库科技,66.08,19.99%,0.69%,0.00,1.12亿,-1.12亿,1.12亿
8,688702,盛科通信,78.0,19.27%,5.57%,4.70亿,3.48亿,1.22亿,8.17亿
9,688273,麦澜德,52.83,18.06%,40.85%,3.32亿,4.39亿,-1.07亿,7.71亿
10,300453,三鑫医疗,10.75,14.24%,22.68%,4.33亿,4.35亿,-182.44万,8.69亿
11,301018,申菱环境,56.02,13.13%,14.23%,9.56亿,6.07亿,3.49亿,15.63亿
12,301173,毓恬冠佳,53.25,12.11%,47.38%,2.31亿,1.96亿,3465.51万,4.26亿
13,300398,飞凯材料,23.19,11.81%,22.55%,15.42亿,12.80亿,2.62亿,28.22亿
14,300806,斯迪克,21.0,11.46%,11.64%,4.71亿,2.73亿,1.98亿,7.44亿
15,300902,国安达,26.24,11.42%,16.20%,2.92亿,2.12亿,7972.25万,5.04亿
16,300857,协创数据,85.66,11.29%,9.12%,17.30亿,8.98亿,8.32亿,26.28亿
17,688626,翔宇医疗,64.4,11.02%,6.43%,3.54亿,2.91亿,6321.23万,6.44亿
18,688498,源杰科技,270.03,10.71%,7.96%,6.87亿,5.68亿,1.19亿,12.55亿
19,301033,迈普医学,88.8,10.38%,4.28%,1.18亿,9158.01万,2624.59万,2.09亿
20,688376,美埃科技,50.7,10.34%,8.50%,1.25亿,8837.92万,3675.14万,2.14亿
21,600984,建设机械,3.8,10.14%,7.30%,2.01亿,1.35亿,6583.94万,3.36亿
22,601929,吉视传媒,3.27,10.10%,15.80%,7.98亿,9.49亿,-1.51亿,17.46亿
23,600581,八一钢铁,5.13,10.09%,17.33%,7.58亿,5.58亿,2.00亿,13.17亿
24,2307,北新路桥,5.58,10.06%,9.68%,2.75亿,4.06亿,-1.31亿,6.82亿
25,14,沙河股份,14.25,10.04%,9.14%,7265.81万,2.42亿,-1.69亿,3.15亿
26,11,深物业A,10.52,10.04%,9.11%,2.44亿,2.31亿,1319.66万,4.78亿
27,6,深振业A,7.46,10.03%,8.47%,4.86亿,3.39亿,1.47亿,8.26亿
