序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301632,N广建科,34.01,418.45,27.45,582534.0,1948170150.51,152.13,40.0,30.02,32.66,6.56,,84.59,-252.93,5.41,14235225600.0,2342046173.0,-0.03,1.83,418.45,418.45
2,300815,玉禾田,29.5,20.02,4.92,760312.0,2173939938.74,13.79,29.5,26.11,26.11,24.58,3.16,19.65,18.23,2.84,11758464000.0,11411733744.0,0.0,0.0,70.42,93.82
3,688584,上海合晶,22.86,20.0,3.81,253764.0,555095135.0,20.58,22.86,18.94,19.2,19.05,5.68,7.47,198.0,3.77,15212377950.0,7767562664.0,0.0,0.0,37.21,18.08
4,301486,致尚科技,91.97,20.0,15.33,210104.0,1776853519.41,23.06,91.97,74.3,78.01,76.64,2.85,29.0,125.45,4.81,11834791110.0,6663571847.0,0.0,0.0,38.78,93.83
5,300637,扬帆新材,14.64,20.0,2.44,308218.0,437823964.19,12.46,14.64,13.12,13.12,12.2,3.26,13.14,74.27,4.87,3436741903.0,3433152380.0,0.0,0.0,38.77,59.13
6,688256,寒武纪-U,848.88,20.0,141.48,191622.0,15126074903.0,21.6,848.88,696.06,702.5,707.4,2.98,4.58,249.76,60.24,355129138149.0,355129138149.0,0.0,0.1,26.33,29.01
7,300620,光库科技,66.08,19.99,11.01,16982.0,112220293.92,0.0,66.08,66.08,66.08,55.07,0.09,0.69,379.58,8.53,16465850414.0,16312078355.0,0.0,0.0,58.39,36.25
8,688702,盛科通信-U,78.0,19.27,12.6,112245.0,817382027.0,20.52,78.48,65.06,65.4,65.4,4.1,5.57,-526.07,13.73,31980000000.0,15716359074.0,-0.01,0.05,29.83,-7.14
9,688273,麦澜德,52.83,18.06,8.08,150452.0,771014885.0,18.28,53.7,45.52,45.6,44.75,2.49,40.85,33.13,4.03,5283000000.0,1945559316.0,0.38,1.21,86.15,129.9
10,300453,三鑫医疗,10.75,14.24,1.34,810005.0,868522524.04,18.92,11.29,9.51,9.68,9.41,5.11,22.68,24.39,4.17,5615773394.0,3840047651.0,0.0,0.47,35.22,48.07
11,301018,申菱环境,56.02,13.13,6.5,283193.0,1563394808.17,21.69,59.42,48.68,49.0,49.52,1.86,14.23,68.83,5.85,14904264635.0,11146602692.0,0.0,0.43,53.99,45.96
12,301173,毓恬冠佳,53.25,12.11,5.75,79890.0,426399847.89,17.68,56.2,47.8,47.8,47.5,2.51,47.38,57.87,3.41,4677201609.0,897897400.0,-0.06,-0.17,15.58,89.5
13,300398,飞凯材料,23.19,11.81,2.45,1271673.0,2822316877.54,15.19,23.98,20.83,21.48,20.74,2.67,22.55,27.45,2.89,13147488176.0,13075687089.0,0.0,-0.04,20.47,47.71
14,300806,斯迪克,21.0,11.46,2.16,368437.0,743841313.73,14.28,21.45,18.76,18.8,18.84,3.48,11.64,246.86,4.28,9519310563.0,6644834049.0,0.05,-0.1,24.78,62.29
15,300902,国安达,26.24,11.42,2.69,196973.0,503537818.35,11.42,26.49,23.8,23.8,23.55,3.63,16.2,443.3,5.81,4770520403.0,3190344323.0,0.08,-0.38,43.86,14.69
16,300857,协创数据,85.66,11.29,8.69,314663.0,2627633105.14,7.93,86.6,80.5,82.37,76.97,5.65,9.12,32.45,8.1,29648705073.0,29563708938.0,-0.01,-0.09,15.94,12.5
17,688626,翔宇医疗,64.4,11.02,6.39,102825.0,644485141.0,16.67,66.5,56.83,58.01,58.01,1.18,6.43,112.24,5.16,10304000000.0,10304000000.0,0.0,-0.16,67.49,120.85
18,688498,源杰科技,270.03,10.71,26.13,47854.0,1255358889.0,16.81,281.99,241.0,241.0,243.9,1.34,7.96,405.17,11.12,23208464452.0,16242107648.0,0.06,-1.35,95.84,101.51
19,301033,迈普医学,88.8,10.38,8.35,23966.0,209406256.37,16.61,92.5,79.14,80.45,80.45,2.01,4.27,61.2,8.59,5915139295.0,4978787695.0,0.03,0.34,40.37,114.23
20,688376,美埃科技,50.7,10.34,4.75,43317.0,213509672.0,12.51,51.46,45.71,45.96,45.95,2.02,8.5,40.64,3.76,6814080000.0,2584969362.0,-0.02,0.72,45.06,52.76
21,835305,*ST云创,17.49,10.28,1.63,108985.0,186486629.3,12.42,17.77,15.8,16.06,15.86,1.45,13.44,-76.26,3.71,2315258426.0,1418454304.0,0.17,0.23,34.54,-13.88
22,839680,*ST广道,9.5,10.21,0.88,157195.0,147081992.22,13.92,9.82,8.62,8.66,8.62,1.12,33.52,-26.12,9.73,636499050.0,445486768.0,0.0,0.64,42.22,-35.72
23,600984,建设机械,3.8,10.14,0.35,917617.0,335783001.0,11.01,3.8,3.42,3.45,3.45,4.19,7.3,-4.94,1.18,4776766915.0,4776766915.0,0.0,0.0,13.43,19.12
24,601929,吉视传媒,3.27,10.1,0.3,5515089.0,1746292796.0,8.08,3.27,3.03,3.04,2.97,0.95,15.8,-27.7,2.17,11411607309.0,11411607309.0,0.0,0.0,77.72,74.87
25,600581,八一钢铁,5.13,10.09,0.47,2656986.0,1316686433.0,9.87,5.13,4.67,4.94,4.66,3.11,17.33,-5.33,-27.89,7893487241.0,7863766073.0,0.0,0.0,54.52,67.1
26,002307,北新路桥,5.58,10.06,0.51,1227049.0,681857939.84,3.75,5.58,5.39,5.58,5.07,2.1,9.67,-25.83,2.39,7077067028.0,7077067028.0,0.0,0.0,36.1,50.81
27,000011,深物业A,10.52,10.04,0.96,479395.0,478120614.86,9.73,10.52,9.59,9.6,9.56,4.76,9.11,313.13,1.86,6269700048.0,5538522712.0,0.0,0.0,20.78,20.37
28,000014,沙河股份,14.25,10.04,1.3,221340.0,314932849.42,1.78,14.25,14.02,14.16,12.95,2.75,9.14,-90.41,2.14,3449158692.0,3449158692.0,0.0,0.0,19.95,29.66
29,600203,福日电子,17.34,10.03,1.58,2890873.0,4879440100.0,14.15,17.34,15.11,15.12,15.76,1.52,48.75,232.8,6.17,10282413342.0,10282413342.0,0.0,0.29,81.57,93.96
30,000006,深振业Ａ,7.46,10.03,0.68,1143790.0,825668425.71,7.08,7.46,6.98,7.04,6.78,2.69,8.47,-97.08,1.87,10070963043.0,10070905974.0,0.0,0.0,7.18,1.91
31,002298,中电鑫龙,8.56,10.03,0.78,963995.0,810616906.61,10.15,8.56,7.77,7.78,7.78,1.26,14.75,37.52,3.07,6335349313.0,5595375961.0,0.0,0.0,45.83,60.9
32,002052,同洲电子,11.96,10.03,1.09,181020.0,215967871.88,1.93,11.96,11.75,11.89,10.87,0.82,2.63,22.16,31.01,8999178740.0,8245070374.0,0.0,0.0,25.1,92.28
33,002176,江特电机,9.55,10.02,0.87,3859477.0,3586695768.12,6.68,9.55,8.97,9.15,8.68,7.74,22.62,-94.56,4.71,16295409299.0,16292482558.0,0.0,0.0,33.38,28.88
34,002270,华明装备,20.09,10.02,1.83,355227.0,695532544.62,9.8,20.09,18.3,18.37,18.26,4.75,3.96,24.43,5.69,18005168909.0,18004784185.0,0.0,0.0,31.74,20.88
35,002328,新朋股份,6.81,10.02,0.62,607044.0,405156492.36,9.21,6.81,6.24,6.26,6.19,3.42,10.64,32.44,1.62,5255753700.0,3887092812.0,0.0,0.0,21.82,13.31
36,601137,博威合金,22.18,10.02,2.02,1053895.0,2307461607.0,10.32,22.18,20.1,20.22,20.16,5.61,13.0,14.2,2.18,17999286055.0,17977993255.0,0.0,0.0,25.31,12.02
37,600211,西藏药业,48.04,10.01,4.37,174963.0,833269238.0,8.15,48.04,44.48,44.89,43.67,1.26,5.43,14.38,4.0,15484214176.0,15484214176.0,0.0,0.0,33.0,33.63
38,605298,必得科技,21.65,10.01,1.97,48505.0,101671271.0,8.38,21.65,20.0,20.0,19.68,0.41,2.63,140.77,4.07,4066952500.0,3997715800.0,0.0,0.0,67.31,61.57
39,605188,国光连锁,13.3,10.01,1.21,43643.0,58045190.0,0.0,13.3,13.3,13.3,12.09,0.52,0.87,76.65,5.69,6667974950.0,6667974950.0,0.0,0.0,-9.09,74.31
40,603610,麒盛科技,14.4,10.01,1.31,513322.0,723914607.0,10.62,14.4,13.01,13.05,13.09,2.98,14.54,28.57,1.66,5083079342.0,5083079342.0,0.0,0.0,12.94,15.11
41,600053,九鼎投资,19.67,10.01,1.79,52798.0,103854531.0,0.0,19.67,19.67,19.67,17.88,0.37,1.22,-64.08,3.29,8527747536.0,8527747536.0,0.0,0.0,22.55,41.82
42,000026,飞亚达,21.44,10.01,1.95,562651.0,1139731870.45,9.95,21.44,19.5,20.01,19.49,1.67,15.42,48.0,2.65,8699580310.0,7820654285.0,0.0,0.0,73.46,115.05
43,600246,万通发展,9.23,10.01,0.84,3392600.0,3073158388.0,8.58,9.23,8.51,9.01,8.39,4.09,17.95,-123.7,3.39,17448507153.0,17448507153.0,0.0,0.0,61.93,23.89
44,002941,新疆交建,16.71,10.01,1.52,77396.0,129329066.91,0.0,16.71,16.71,16.71,15.19,0.41,1.2,-364.13,3.13,10787664893.0,10787664893.0,0.0,0.0,46.97,51.63
45,600113,浙江东日,39.71,10.0,3.61,196223.0,759216478.0,8.01,39.71,36.82,37.0,36.1,1.97,4.77,165.72,6.87,16724925169.0,16337931364.0,0.0,0.0,179.65,187.75
46,603080,新疆火炬,26.74,10.0,2.43,158874.0,408778889.0,12.05,26.74,23.81,24.31,24.31,1.18,11.23,20.8,2.53,3783710000.0,3783710000.0,0.0,0.0,60.7,72.29
47,603757,大元泵业,35.41,10.0,3.22,61486.0,216528800.0,4.38,35.41,34.0,34.0,32.19,0.51,3.73,37.19,3.65,5833710002.0,5833710002.0,0.0,0.0,48.16,78.39
