序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,688505,复旦张江,1106490805.0,324772300.0,34309413.0,2541453272.0,-10.7853932822,7177974.0,,261015209.0,-46.8696841484,10.2703131266,2280438063.0,2025-08-13
2,688270,臻镭科技,658966258.58,461871207.38,116925412.13,2339683067.27,5.8230706832,102320273.28,78580.8,140081943.43,47.7534351761,5.9872187558,2199601123.84,2025-08-13
3,688260,昀冢科技,20940393.02,152957100.08,108940436.86,1468831952.82,-9.3581775435,249893748.63,,1317997833.77,-1.7287509004,89.7310159436,150834119.05,2025-08-13
4,688099,晶晨股份,2496195072.8,276684526.57,1852556767.37,7896531931.15,11.4756803459,369635372.29,,889061697.98,-22.1336700231,11.2588881516,7007470233.17,2025-08-13
5,688027,国盾量子,1697590615.83,185541930.08,259592444.61,3575718885.88,105.5507136377,133677429.72,293245.64,351811132.5,39.2347243939,9.8388923662,3223907753.38,2025-08-13
6,603530,神马电力,314630199.05,641339303.27,459647537.3,2545849380.38,23.1383741542,139951111.68,,797550838.55,70.937627488,31.3274950473,1748298541.83,2025-08-13
7,603271,永杰新材,944216659.1,1045308166.56,1060231469.37,4550289678.11,40.2736694937,110541804.01,74385.18,1820534833.73,5.6109138219,40.0092073805,2729754844.38,2025-08-13
8,600987,航民股份,3563958019.36,366387377.52,2814927790.81,10476822660.33,3.6626874913,189588159.9,,3379955138.33,3.3059623844,32.2612613376,7096867522.0,2025-08-13
9,600961,株冶集团,1321124796.88,230868083.11,1782987443.56,9283127497.91,3.8863010665,502706985.9,,4434204750.16,-7.8728851982,47.7662808268,4848922747.75,2025-08-13
10,600746,江苏索普,905932724.86,134541879.4,454337820.29,6843737897.05,6.3577838641,593023207.67,,1411604392.94,24.0112484223,20.6262193873,5432133504.11,2025-08-13
11,600519,贵州茅台,51644880716.93,37961242.39,54971731959.6,292257789095.51,4.6741362937,2952131468.88,,43122202832.76,-15.7151357023,14.7548515187,249135586262.75,2025-08-13
12,600050,中国联通,48317107516.0,71504315308.0,3363696868.0,665466524325.0,-0.4298165197,153422852214.0,378664872.0,286332773008.0,-4.5935001965,43.027374412,379133751317.0,2025-08-13
13,301361,众智科技,90819773.13,47728970.83,38749693.2,1229935355.39,7.5359647953,21821209.4,,48972818.17,25.9932083381,3.9817391992,1180962537.22,2025-08-13
14,301256,华融化学,206759497.44,111029230.31,66718106.21,2312953098.24,-3.2204066823,35133873.56,,606194974.85,-12.3685433794,26.2087015647,1706758123.39,2025-08-13
15,301175,中科环保,902293363.19,777009367.23,104535368.48,7991289168.57,11.1817671797,547471035.89,,4050277053.54,17.1393135382,50.683650261,3941012115.03,2025-08-13
16,300999,金龙鱼,44371890000.0,8354596000.0,44700260000.0,225888102000.0,6.0325692694,5493855000.0,,126236641000.0,8.3594389905,55.8845905926,99651461000.0,2025-08-13
17,300637,扬帆新材,63609361.1,120666773.03,219684594.04,1291649155.26,-2.05064327,59873877.85,,586653699.66,-10.5063437384,45.4189666963,704995455.6,2025-08-13
18,002991,甘源食品,585919130.93,77044971.58,199864345.1,2062509447.92,-4.7872686268,82767290.22,,436216187.49,17.0930588806,21.149778874,1626293260.43,2025-08-13
19,002938,鹏鼎控股,13074365254.13,3708088021.09,3490505064.52,44434986384.52,11.2404737293,4788228178.73,,12994089486.22,21.2490766437,29.242924424,31440896898.3,2025-08-13
20,002913,奥士康,1368668726.49,1468476773.55,766548250.1,8468050642.4,8.989966784,1311356415.38,,3949362284.18,11.0483691841,46.6383876403,4518688358.22,2025-08-13
21,002909,集泰股份,121360008.45,399037923.5,96922757.35,2219617810.57,-0.8828830189,317237705.56,7706.45,1321478585.23,3.3819513122,59.5363120145,898139225.34,2025-08-13
22,002372,伟星新材,1726421075.99,464038728.93,795495598.01,5981337726.91,-3.1844555366,416836529.96,,1371423064.67,-2.758592593,22.9283669855,4609914662.24,2025-08-13
23,000970,中科三环,1952075458.94,1862017569.3,2795360365.72,9888720562.98,-3.9208812229,1057261274.45,25004.93,2513818086.64,-5.447175408,25.4210650471,7374902476.34,2025-08-13
24,000895,双汇发展,5094915936.51,240747578.99,6335974614.31,38096073365.78,5.1822810554,2464987961.63,5210825.14,17042450925.15,11.5583736926,44.7354528156,21053622440.63,2025-08-13
25,000812,陕西金叶,271984021.73,212943540.79,297733955.07,5263904850.17,7.2984747721,715190096.46,,3376189812.94,12.5585695844,64.1385038111,1887715037.23,2025-08-13
26,000059,华锦股份,6490369161.11,177501409.44,6014101530.72,27369482078.82,-2.9580088319,714627449.43,39590.5,16245633559.59,16.2788356554,59.3567445405,11123848519.23,2025-08-13
27,688510,航亚科技,236240707.69,391607153.22,200797581.34,1920531532.41,13.1129631707,273690266.57,,714797459.14,20.6302990179,37.2187307044,1205734073.27,2025-08-12
28,688329,艾隆科技,115348439.74,225773988.99,103409853.77,1356924717.29,-1.9056315322,147237350.33,0.0,577246305.36,-3.7688182145,42.5407760655,779678411.93,2025-08-12
29,688322,奥比中光,595964425.15,88809982.04,210559107.71,3327061105.46,2.0677888586,141458483.6,,388636231.81,26.6629830984,11.6810668482,2938424873.65,2025-08-12
30,688216,气派科技,45767839.95,130205976.88,102796586.64,1881141480.6,-1.819060661,318251208.74,,1257902572.74,7.3476732413,66.8691103626,623238907.86,2025-08-12
31,688029,南微医学,2016173516.57,554888914.3,628487443.36,5077462916.19,14.9865520692,374780942.82,1116739.52,880661978.46,34.6457225896,17.344528025,4196800937.73,2025-08-12
32,688003,天准科技,676036310.3,438729273.81,1181328930.34,3976898477.92,17.1531776444,520533233.49,,2117850977.43,30.3878344458,53.2538356005,1859047500.49,2025-08-12
33,605339,南侨食品,1020413983.55,177863309.22,608557016.3,4150355543.3,-2.6001074699,255046482.92,,735463021.08,-12.0706384139,17.7204823396,3414892522.22,2025-08-12
34,605098,行动教育,1348946954.31,294344.84,1471875.05,2210234073.73,3.1149309839,20887803.46,,1205164399.22,3.9990805148,54.526550538,1005069674.51,2025-08-12
35,605020,永和股份,442109101.73,425861929.57,766871410.53,7873315218.36,9.0248112434,483594209.23,,3128020951.76,-30.2348626876,39.7294007036,4745294266.6,2025-08-12
36,603810,丰山集团,405298867.7,305301625.18,253435942.35,2800910336.48,8.9754073191,178707588.7,,1200160522.75,18.0049678716,42.8489447562,1600749813.73,2025-08-12
37,603499,翔港科技,112605418.9,332966413.79,106331848.57,1602887337.81,17.786134519,158610375.03,3443053.85,684794968.38,26.5488695113,42.7225889323,918092369.43,2025-08-12
38,603308,应流股份,421335287.38,1341378122.01,2272103326.63,12597190795.0,10.3306865226,686917725.02,848129.33,7365882696.41,15.392314041,58.4724230686,5231308098.59,2025-08-12
39,603166,福达股份,237735371.03,430664357.6,412694069.92,4500048693.76,21.3678717212,309363812.34,,2019932593.12,47.7936165533,44.8869052444,2480116100.64,2025-08-12
40,603129,春风动力,8575911105.14,1713736319.14,2476543954.48,16744829832.31,35.6966487926,4750143573.21,,9778126001.98,45.1350445792,58.3948962151,6966703830.33,2025-08-12
41,600844,金煤科技,28900317.79,11810172.98,65934077.5,1203072399.67,-15.2940110221,266893742.98,,913277492.8,16.1516463154,75.9120974806,289794906.87,2025-08-12
42,600768,宁波富邦,123680591.66,195878990.8,177306432.25,1029539623.85,71.5018972581,28535148.65,,563348599.14,191.2423320662,54.7184961209,466191024.71,2025-08-12
43,600580,卧龙电驱,3601358038.0,5340907169.92,3477640881.2,25266975180.84,-1.1026238163,5102806403.9,964873.17,14249465549.69,-1.3096436109,56.3956130392,11017509631.15,2025-08-12
44,600509,天富能源,1609124493.74,2541471788.89,238806878.67,30189709285.32,18.8794962442,2362247520.19,19468247.67,21447422637.68,24.2946906935,71.0421635233,8742286647.64,2025-08-12
45,600355,*ST精伦,24093202.96,51281903.81,41852539.66,266331203.72,-0.876183761,18593580.48,6918248.57,155462595.1,34.6901414461,58.3719042037,110868608.62,2025-08-12
46,600309,万华化学,34193695160.4,14718517496.44,25010020060.64,315955471005.95,7.380260194,22934463024.8,,207901419122.2,6.8278834805,65.8008606277,108054051883.75,2025-08-12
47,301616,浙江华业,478257534.33,268941299.71,284155642.17,1854170855.81,39.0462393043,122731316.03,,524780027.78,14.5363867347,28.3026791267,1329390828.03,2025-08-12
48,301277,新天地,102222425.43,108061799.0,68016941.41,1765676719.66,1.6119212671,125389398.0,,257498550.08,0.4426576575,14.5835614874,1508178169.58,2025-08-12
49,301026,浩通科技,882067664.01,45067231.14,1037127374.26,4119464384.02,46.6883930983,14805077.65,,2505157596.23,96.6226067821,60.8127019121,1614306787.79,2025-08-12
50,300956,英力股份,237358205.59,793673852.71,501566917.01,3210632968.89,25.5951180598,774992151.72,1153815.4,1823352361.34,36.9232502607,56.7910558138,1387280607.55,2025-08-12
51,300937,药易购,326254349.02,351472791.94,485897506.98,1749268918.6,4.0769593039,373054745.68,,930157809.52,11.3294769607,53.1740888796,819111109.08,2025-08-12
52,300850,新强联,733142642.6,1906885635.85,1127401789.07,11210650281.89,10.4928006863,461224606.74,,5085404952.16,-0.0211741627,45.3622655626,6125245329.73,2025-08-12
53,300826,测绘股份,312921470.6,623767015.1,741295821.94,2583317733.86,3.4245161798,396070040.28,7121445.64,1139516555.36,-3.2945089306,44.110584634,1443801178.5,2025-08-12
54,300776,帝尔激光,317480376.27,992544433.86,1752630715.5,6667056822.79,1.2321307926,290751863.18,,2955198094.72,-13.5467540132,44.3253773482,3711858728.07,2025-08-12
55,300727,润禾材料,202246151.4,332107089.06,151442936.98,1693606111.81,7.4186974693,69490931.66,,433798902.06,-34.2592606763,25.6139192599,1259807209.75,2025-08-12
56,300711,广哈通信,210404086.82,323844959.71,242241122.78,1268436932.72,31.2304790196,156925936.74,104600.0,436160726.67,60.529393682,34.3856848866,832276206.05,2025-08-12
57,300619,金银河,465426335.24,1034685382.6,823294291.33,4326834909.82,-1.588253135,507356586.55,,2690986076.8,-0.9285975636,62.1929454875,1635848833.02,2025-08-12
58,300611,美力科技,223300047.01,544348866.43,352375923.95,2327041272.22,15.9964549032,314843558.28,8545396.78,1053205621.8,18.8626596893,45.2594302634,1273835650.42,2025-08-12
59,300547,川环科技,100959449.3,525367078.5,322870238.35,1517843653.08,11.3819831778,179937844.7,,278261930.19,17.9145554862,18.3327136247,1239581722.89,2025-08-12
60,300400,劲拓股份,372261515.87,293022753.55,206022907.45,1160973065.58,-4.6498121334,227221179.7,,414106292.62,12.6156265095,35.6688974876,746866772.96,2025-08-12
