序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
1,301632,N广建科,34.01,23.47,24.0,418.45,23.47,3,418.45,23.47,2,418.45,专业服务
2,300815,玉禾田,29.5,9.3,363.0,20.02,8.93,63,42.86,6.63,46,44.75,环保行业
3,688584,上海合晶,22.86,20.13,35.0,20.0,12.43,23,24.24,7.57,25,24.24,半导体
4,300637,扬帆新材,14.64,19.78,40.0,20.0,7.97,85,22.31,3.23,267,25.13,化学制品
5,688256,寒武纪-U,848.88,13.33,152.0,20.0,4.66,310,22.14,2.4,440,19.43,半导体
6,301486,致尚科技,91.97,8.98,393.0,20.0,4.75,298,23.14,1.89,572,31.61,消费电子
7,300620,光库科技,66.08,37.06,4.0,19.99,37.06,1,19.99,37.06,1,19.99,通信设备
8,688702,盛科通信-U,78.0,0.59,1656.0,19.27,-0.04,1701,16.77,-3.91,3809,11.91,半导体
9,688273,麦澜德,52.83,5.16,823.0,18.06,7.04,114,50.34,5.56,84,55.75,医疗器械
10,300453,三鑫医疗,10.75,-0.08,1759.0,14.24,1.0,1177,20.11,0.75,960,23.28,医疗器械
11,301018,申菱环境,56.02,1.52,1473.0,13.13,4.12,394,21.07,3.54,227,30.31,专用设备
12,301173,毓恬冠佳,53.25,12.36,186.0,12.11,1.84,935,8.67,3.2,271,17.34,汽车零部件
13,300398,飞凯材料,23.19,4.63,916.0,11.81,0.13,1621,13.96,-0.68,1701,16.01,电子化学品
14,300806,斯迪克,21.0,2.83,1215.0,11.46,0.69,1376,13.82,-1.88,2443,12.9,塑料制品
15,300902,国安达,26.24,1.26,1530.0,11.42,1.29,1141,14.99,0.41,1135,23.54,专用设备
16,300857,协创数据,85.66,0.29,1720.0,11.29,-5.14,4169,8.68,-6.79,4965,5.49,消费电子
17,688626,翔宇医疗,64.4,-1.72,2237.0,11.02,-1.15,2222,20.53,-1.6,2267,37.52,医疗器械
18,688498,源杰科技,270.03,-9.04,4023.0,10.71,-2.0,2659,24.08,0.65,1016,22.9,半导体
19,301033,迈普医学,88.8,4.1,1010.0,10.38,0.87,1312,17.31,-0.75,1739,19.03,医疗服务
20,688376,美埃科技,50.7,7.72,529.0,10.34,3.82,460,6.67,3.83,190,12.84,环保行业
21,600984,建设机械,3.8,24.83,20.0,10.14,15.67,10,14.8,5.76,77,10.79,工程机械
22,601929,吉视传媒,3.27,-6.33,3370.0,10.1,1.98,895,47.3,1.29,750,63.5,文化传媒
23,600581,八一钢铁,5.13,1.67,1437.0,10.09,2.06,871,29.87,0.71,984,26.04,钢铁行业
24,002307,北新路桥,5.58,-7.68,3715.0,10.06,5.38,217,35.11,4.74,131,34.13,工程建设
25,000014,沙河股份,14.25,6.01,715.0,10.04,2.83,686,13.55,1.02,843,12.2,房地产开发
26,000011,深物业A,10.52,13.75,136.0,10.04,14.31,16,23.19,10.72,11,18.87,房地产开发
