成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2025-08-12 15:00:01,688273,麦澜德,52.83,45432,240.02,买盘,18.06%,9.54
2025-08-12 15:00:01,688200,华峰测控,139.16,7085,98.59,卖盘,-0.59%,-0.83
2025-08-12 15:00:01,688314,康拓医疗,41.1,20220,83.1,卖盘,-0.96%,-0.4
2025-08-12 15:00:01,688199,久日新材,27.29,82125,224.12,卖盘,6.77%,1.85
2025-08-12 15:00:01,600824,益民集团,4.33,200000,86.6,买盘,0.23%,0.01
2025-08-12 15:00:01,688019,安集科技,149.43,13409,200.37,买盘,2.00%,2.99
2025-08-12 15:00:01,688530,欧莱新材,19.18,40290,77.28,买盘,2.46%,0.47
2025-08-12 15:00:01,688496,清越科技,9.84,53800,52.94,卖盘,-2.19%,-0.22
2025-08-12 15:00:01,601059,信达证券,17.82,70600,125.81,买盘,0.39%,0.07
2025-08-12 15:00:01,601059,信达证券,17.82,93400,166.44,买盘,0.39%,0.07
2025-08-12 15:00:01,688120,华海清科,106.6,6000,63.96,卖盘,-0.84%,-0.89
2025-08-12 15:00:01,688372,伟测科技,60.07,11000,66.08,买盘,4.31%,2.59
2025-08-12 15:00:01,688372,伟测科技,60.07,11655,70.01,买盘,4.31%,2.59
2025-08-12 15:00:01,688213,思特威,96.48,7800,75.25,卖盘,-1.04%,-1.0
2025-08-12 15:00:01,688282,理工导航,52.3,11149,58.31,买盘,-2.37%,-1.24
2025-08-12 15:00:01,688589,力合微,24.27,30000,72.81,买盘,0.04%,0.01
2025-08-12 15:00:01,688508,芯朋微,59.16,8600,50.88,买盘,1.08%,0.64
2025-08-12 15:00:01,688501,青达环保,30.68,16354,50.17,买盘,-1.73%,-0.53
2025-08-12 15:00:01,601020,华钰矿业,20.13,50000,100.65,买盘,-2.75%,-0.55
2025-08-12 15:00:01,601020,华钰矿业,20.13,56400,113.53,买盘,-2.75%,-0.55
2025-08-12 15:00:01,601020,华钰矿业,20.13,49700,100.05,买盘,-2.75%,-0.55
2025-08-12 15:00:01,600619,海立股份,22.98,81100,186.37,卖盘,10.01%,2.3
2025-08-12 15:00:01,600547,山东黄金,31.55,39700,125.25,卖盘,0.86%,0.27
2025-08-12 15:00:01,600170,上海建工,2.43,248200,60.31,卖盘,-0.82%,-0.02
2025-08-12 15:00:01,600170,上海建工,2.43,231000,56.13,买盘,-0.82%,-0.02
2025-08-12 15:00:01,688297,中无人机,56.13,43787,245.78,买盘,-4.18%,-2.35
2025-08-12 15:00:01,688297,中无人机,56.13,16765,94.1,卖盘,-4.18%,-2.35
2025-08-12 15:00:01,688297,中无人机,56.13,12074,67.77,卖盘,-4.18%,-2.35
2025-08-12 15:00:01,603936,博敏电子,10.84,96400,104.5,卖盘,0.74%,0.08
