代码,名称,上市日期,累计股息,年均股息,分红次数,融资总额,融资次数
000550,江铃汽车,1993-12-01,213.0,6.66,51,0.0,0
000541,佛山照明,1993-11-23,195.7,6.12,58,10.8842,1
000429,粤高速A,1998-02-20,179.6,6.65,52,16.335,1
000581,威孚高科,1998-09-24,155.5,5.76,52,28.5012,1
000726,鲁泰A,2000-12-25,152.1,6.08,53,9.5082,1
000022,深赤湾A,1993-05-05,132.3,5.09,45,0.0,0
000539,粤电力A,1993-11-26,130.9,4.09,55,8.0981,1
000488,ST晨鸣,2000-11-20,123.7,4.95,40,0.0,0
000761,本钢板材,1998-01-15,123.6,4.42,38,39.6774,1
000012,南玻A,1992-02-28,117.0,3.55,59,13.72,1
600066,宇通客车,1997-05-08,117.0,4.18,28,21.8949,1
600177,雅戈尔,1998-11-19,110.6,4.1,30,49.4842,1
000002,万科A,1991-01-29,104.8,3.0,49,141.333,2
600019,宝钢股份,2000-12-12,99.5,3.98,29,0.0,0
600377,宁沪高速,2001-01-16,99.3,3.97,25,0.0,0
600028,中国石化,2001-08-08,97.6,4.07,47,119.873,1
000651,格力电器,1996-11-18,97.1,3.35,30,43.3065,2
600153,建发股份,1998-06-16,95.1,3.52,28,45.0896,2
600282,南钢股份,2000-09-19,94.8,3.79,23,19.5001,2
000030,富奥股份,1993-09-29,93.5,2.92,28,0.0,0
601006,大秦铁路,2006-08-01,93.2,4.91,20,309.533,2
601088,中国神华,2007-10-09,93.0,5.17,19,659.884,1
000937,冀中能源,1999-09-09,92.1,3.54,27,30.9075,1
000895,双汇发展,1998-12-10,91.4,3.38,31,69.6768,1
600642,申能股份,1993-04-16,90.4,2.82,32,53.0172,3
600012,皖通高速,2003-01-07,89.6,3.89,24,0.0,0
000026,飞亚达,1993-06-03,89.3,2.79,50,10.6569,2
600507,方大特钢,2003-09-30,89.0,4.05,16,8.7208,1
601988,中国银行,2006-07-05,87.8,4.62,20,2260.437,3
601398,工商银行,2006-10-27,86.3,4.54,20,791.57,2
600188,兖矿能源,1998-07-01,86.1,3.19,33,0.0,0
000531,穗恒运A,1994-01-06,85.5,2.67,28,13.4607,1
000869,张裕A,2000-10-26,85.5,3.42,49,0.0,0
601939,建设银行,2007-09-25,85.2,4.73,20,1643.1332,3
000011,深物业A,1992-03-30,84.2,2.55,31,0.0,0
600350,山东高速,2002-03-18,83.7,3.64,23,0.0,0
000625,长安汽车,1997-06-10,83.2,2.97,46,114.1535,3
600548,深高速,2001-12-25,82.9,3.46,24,46.7924,1
600104,上汽集团,1997-11-25,82.4,2.94,25,247.335,2
601328,交通银行,2007-05-15,82.4,4.58,22,1913.584,4
000039,中集集团,1994-04-08,81.8,2.64,41,0.0,0
000530,冰山冷热,1993-12-08,81.7,2.55,56,5.6128,1
600900,长江电力,2003-11-18,80.8,3.67,27,400.687,2
002003,伟星股份,2004-06-25,80.5,3.84,22,20.8321,5
000778,新兴铸管,1997-06-06,79.5,2.84,27,91.1495,4
600971,恒源煤电,2004-08-17,78.8,3.75,17,15.3197,1
600479,千金药业,2004-03-12,77.9,3.71,24,4.9147,1
000709,河钢股份,1997-04-16,77.3,2.76,21,159.328,1
000989,九芝堂,2000-06-28,76.9,3.07,25,0.0,0
601288,农业银行,2010-07-15,76.8,5.12,16,1675.472,2
600741,华域汽车,1996-08-26,76.7,2.64,24,89.1387,1
600033,福建高速,2001-02-09,76.0,3.04,25,22.013,1
002014,永新股份,2004-07-08,74.6,3.55,21,5.9991,2
600729,重庆百货,1996-07-02,74.0,2.55,28,5.9643,1
600210,紫江企业,1999-08-24,73.9,2.84,26,2.0351,1
000513,丽珠集团,1993-10-28,73.8,2.31,37,14.203,1
000828,东莞控股,1997-06-17,73.7,2.63,28,0.0,0
000568,泸州老窖,1994-05-09,72.8,2.35,30,33.0973,2
600395,盘江股份,2001-05-31,72.6,3.03,24,34.8625,1
600015,华夏银行,2003-09-12,72.5,3.3,25,687.1274,4
600295,鄂尔多斯,2001-04-26,71.6,2.98,49,4.996,1
600660,福耀玻璃,1993-06-10,71.2,2.23,25,0.0,0
000848,承德露露,1997-11-13,71.1,2.54,24,0.0,0
600863,内蒙华电,1994-05-20,71.0,2.29,25,45.6203,1
000027,深圳能源,1993-09-03,69.9,2.18,31,75.689,1
600011,华能国际,2001-12-06,69.8,2.91,22,114.9433,2
001914,招商积余,1994-09-28,69.3,2.23,50,6.3273,1
601818,光大银行,2010-08-18,68.8,4.59,16,213.21,1
000900,现代投资,1999-01-28,68.7,2.54,26,0.0,0
600016,民生银行,2000-12-19,68.7,2.75,31,181.5,1
600585,海螺水泥,2002-02-07,68.3,2.85,23,112.821,1
600036,招商银行,2002-04-09,67.7,2.95,24,451.245,2
600398,海澜之家,2000-12-28,67.6,2.7,23,0.0,0
601009,南京银行,2007-07-19,67.2,3.74,19,310.215,4
600269,赣粤高速,2000-05-18,66.8,2.67,25,0.0,0
600694,大商股份,1993-11-22,66.8,2.09,24,0.0,0
000559,万向钱潮,1994-01-10,66.7,2.09,29,46.3187,2
601169,北京银行,2007-09-19,66.7,3.7,19,469.201,3
601166,兴业银行,2007-02-05,66.4,3.5,19,828.396,4
002242,九阳股份,2008-05-28,66.1,3.89,20,14.5831,1
600064,南京高科,1997-05-06,65.6,2.34,23,0.0,0
600578,京能电力,2002-05-10,65.4,2.84,24,61.9667,3
600035,楚天高速,2004-03-10,65.2,3.11,23,3.9941,1
600835,上海机电,1994-02-24,64.9,2.09,58,0.0,0
600000,浦发银行,1999-11-10,64.8,2.49,25,747.508,4
600690,海尔智家,1993-11-19,64.8,2.02,30,32.1473,1
000088,盐田港,1997-07-28,64.5,2.3,29,51.5657,2
600755,厦门国贸,1996-10-03,64.3,2.22,24,30.7952,3
600096,云天化,1997-07-09,64.1,2.29,18,52.6333,3
600894,广日股份,1996-03-28,63.6,2.19,21,6.7143,1
000157,中联重科,2000-10-12,63.5,2.54,27,106.2512,2
601998,中信银行,2007-04-27,63.5,3.53,18,424.396,3
600170,上海建工,1998-06-23,63.4,2.35,26,51.9466,2
600327,大东方,2002-06-25,63.4,2.76,24,4.0109,1
000043,中航善达,1994-09-28,63.2,2.53,44,6.3273,1
000959,首钢股份,1999-12-16,62.6,2.41,18,10.6773,2
600697,欧亚集团,1993-12-06,62.6,1.96,29,0.0,0
600808,马钢股份,1994-01-06,61.5,1.92,22,0.0,0
600183,生益科技,1998-10-28,61.3,2.27,28,12.3755,1
600261,阳光照明,2000-07-20,61.1,2.44,25,8.991,1
000418,小天鹅A,1997-03-28,61.0,2.77,27,0.0,0
601566,九牧王,2011-05-30,61.0,4.36,14,25.5305,1
600761,安徽合力,1996-10-09,60.7,2.09,26,5.2131,1
600859,王府井,1994-05-06,60.7,1.96,29,84.8949,3
600801,华新水泥,1994-01-03,60.2,1.88,51,37.4974,2
600348,华阳股份,2003-08-21,60.1,2.73,19,0.0,0
600987,航民股份,2004-08-09,60.0,2.86,21,0.0,0
601158,重庆水务,2010-03-29,59.8,3.99,16,34.0206,1
600873,梅花生物,1995-02-17,59.6,1.92,19,24.5295,1
600688,上海石化,1993-11-08,59.3,1.85,30,0.0,0
600008,首创环保,2000-04-27,59.1,2.37,25,84.1726,3
600236,桂冠电力,2000-03-23,59.1,2.36,27,0.0,0
000983,山西焦煤,2000-07-26,58.8,2.35,26,43.7122,1
000898,鞍钢股份,1997-12-25,58.6,2.09,22,169.95,1
600598,北大荒,2002-03-29,58.5,2.54,21,0.0,0
000543,皖能电力,1993-12-20,58.3,1.82,28,16.6245,1
000090,天健集团,1999-07-21,57.8,2.22,25,26.7342,2
600383,金地集团,2001-04-12,57.7,2.4,23,85.5398,2
600123,兰花科创,1998-12-17,57.6,2.13,23,4.3162,1
600098,广州发展,1997-07-18,57.2,2.04,26,95.7292,2
601699,潞安环能,2006-09-22,57.2,3.01,17,19.2412,1
600612,老凤祥,1992-08-14,57.1,1.73,47,0.0,0
600007,中国国贸,1999-03-12,56.8,2.19,28,12.0826,1
000016,深康佳A,1992-03-27,56.4,1.71,38,0.0,0
000521,长虹美菱,1993-10-18,56.4,1.76,34,27.1868,2
002233,塔牌集团,2008-05-16,56.4,3.32,20,39.2512,2
600325,华发股份,2004-02-25,55.9,2.66,21,117.729,3
002563,森马服饰,2011-03-11,55.8,3.99,15,45.3081,1
002367,康力电梯,2010-03-12,55.5,3.7,19,17.2167,2
600650,锦江在线,1993-06-07,55.4,1.73,44,0.0,0
601857,中国石油,2007-11-05,55.4,3.08,35,662.433,1
600886,国投电力,1996-01-18,55.1,1.84,23,232.977,6
000596,古井贡酒,1996-09-27,54.8,1.89,43,61.8184,2
600704,物产中大,1996-06-06,54.8,1.89,25,78.9037,3
000933,神火股份,1999-08-31,54.7,2.1,26,38.2115,2
600500,中化国际,2000-03-01,54.7,2.19,25,86.727,2
600717,天津港,1996-06-14,54.7,1.88,27,0.0,0
600376,首开股份,2001-03-12,54.5,2.27,23,144.657,3
002394,联发股份,2010-04-23,54.4,3.63,24,11.5396,1
600027,华电国际,2005-02-03,54.4,2.59,19,156.4426,4
601919,中远海控,2007-06-26,54.4,3.02,10,353.2727,3
600985,淮北矿业,2004-04-28,54.3,2.59,21,9.0398,2
002327,富安娜,2009-12-30,54.1,3.38,15,7.3497,1
601666,平煤股份,2006-11-23,54.0,2.84,15,29.4892,1
000517,荣安地产,1993-08-06,53.9,1.69,15,0.0,0
600820,隧道股份,1994-01-28,53.9,1.68,28,11.3162,1
601225,陕西煤业,2014-01-28,53.7,4.48,13,38.0974,1
600533,栖霞建设,2002-03-28,53.6,2.33,21,16.0392,2
000528,柳工,1993-11-18,53.4,1.67,25,29.6661,1
000825,太钢不锈,1998-10-21,53.3,1.98,23,34.4425,1
600655,豫园股份,1992-09-02,53.2,1.61,32,0.0,0
000690,宝新能源,1997-01-28,53.1,1.83,28,39.522,2
600795,国电电力,1997-03-18,53.0,1.89,26,212.9848,4
600997,开滦股份,2004-06-02,53.0,2.53,20,25.1795,2
000830,鲁西化工,1998-08-07,52.9,1.96,16,59.9047,3
002293,罗莱生活,2009-09-10,52.8,3.3,18,13.6222,2
601000,唐山港,2010-07-05,52.8,3.52,16,58.984,4
600510,黑牡丹,2002-06-18,52.6,2.29,23,15.713,1
600649,城投控股,1993-05-18,52.6,1.64,29,0.0,0
600750,江中药业,1996-09-23,52.6,1.81,29,5.3309,1
601668,中国建筑,2009-07-29,52.5,3.28,16,492.196,1
000916,华北高速,1999-09-27,52.3,2.9,20,0.0,0
600664,哈药股份,1993-06-29,52.0,1.62,17,0.0,0
601098,中南传媒,2010-10-28,52.0,3.47,16,41.23,1
600897,厦门空港,1996-05-31,51.9,1.79,25,0.0,0
000402,金融街,1996-06-26,51.7,1.78,24,94.0078,2
600681,百川能源,1993-10-18,51.7,1.62,17,8.6657,1
600018,上港集团,2000-07-19,51.3,2.05,20,17.1979,1
600887,伊利股份,1996-03-12,51.2,1.76,26,170.4096,2
002128,电投能源,2007-04-18,50.9,2.83,20,76.6613,4
600309,万华化学,2001-01-05,50.9,2.04,26,24.6042,1
002601,龙佰集团,2011-07-15,50.8,3.63,24,134.5967,3
600782,新钢股份,1996-12-25,50.8,1.75,26,36.8521,2
000006,深振业A,1992-04-27,50.7,1.54,29,0.0,0
600639,浦东金桥,1993-03-26,50.7,1.58,55,27.0547,1
600828,茂业商业,1994-02-24,50.7,1.63,22,0.0,0
000708,中信特钢,1997-03-26,50.6,1.81,19,0.0,0
002372,伟星新材,2010-03-18,50.5,3.36,16,10.9127,1
600481,双良节能,2003-04-22,50.5,2.29,22,43.2877,2
600005,武钢股份,1999-08-03,50.4,2.96,16,82.7308,1
600742,富维股份,1996-08-26,50.4,1.74,25,6.2311,1
601369,陕鼓动力,2010-04-28,50.4,3.36,16,16.1766,1
600461,洪城环境,2004-06-01,50.3,2.4,20,28.3242,4
600829,人民同泰,1994-02-24,50.3,1.62,17,0.0,0
002206,海利得,2008-01-23,50.2,2.79,18,19.1423,3
600508,上海能源,2001-08-29,50.2,2.09,22,0.0,0
000019,深粮控股,1992-10-12,50.0,1.52,25,5.7239,1
600020,中原高速,2003-08-08,50.0,2.27,22,0.0,0
000789,万年青,1997-09-23,49.7,1.77,20,3.4654,2
600754,锦江酒店,1996-10-11,49.4,1.7,56,125.1309,3
000037,深南电A,1994-07-01,49.2,1.59,21,0.0,0
600865,百大集团,1994-08-09,49.1,1.59,25,0.0,0
600197,伊力特,1999-09-16,49.0,1.89,27,0.0,0
600483,福能股份,2004-05-31,48.9,2.33,20,26.8134,1
000527,美的电器,1993-11-12,48.7,2.43,20,72.133,2
002110,三钢闽光,2007-01-26,48.4,2.55,15,5.739,1
600048,保利发展,2006-07-31,48.4,2.55,18,255.5649,4
000919,金陵药业,1999-11-18,48.3,1.86,26,7.4263,1
600790,轻纺城,1997-02-28,48.3,1.73,19,0.0,0
002032,苏泊尔,2004-08-17,48.2,2.3,23,7.0463,1
002275,桂林三金,2009-07-10,47.9,2.99,20,8.5928,1
600611,大众交通,1992-08-07,47.9,1.45,52,0.0,0
600126,杭钢股份,1998-03-11,47.8,1.77,21,24.4566,1
600663,陆家嘴,1993-06-28,47.8,1.49,55,17.9657,1
600563,法拉电子,2002-12-10,47.5,2.06,22,0.0,0
601601,中国太保,2007-12-25,47.3,2.63,19,290.315,1
601339,百隆东方,2012-06-12,47.1,3.62,14,19.7789,1
000731,四川美丰,1997-06-17,47.0,1.68,23,0.0,0
000987,越秀资本,2000-07-18,47.0,1.88,25,104.5448,2
002191,劲嘉股份,2007-12-05,46.8,2.6,17,27.7649,2
000055,方大集团,1996-04-15,46.6,1.61,35,7.9525,2
002001,新和成,2004-06-25,46.6,2.22,23,59.6154,2
601928,凤凰传媒,2011-11-30,46.5,3.32,18,43.1845,1
000024,招商地产,1993-06-07,46.4,2.02,39,80.6939,2
