序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,300063,天龙集团,15.62,72.79%,132.63%,8337.60万
2,301230,泓博医药,56.64,64.79%,51.67%,3871.09万
3,300244,迪安诊断,29.16,61.10%,61.67%,-26.63亿
4,301171,易点天下,70.01,59.44%,91.41%,-21.38亿
5,688258,卓易信息,149.2,56.89%,28.68%,-1091.49万
6,688365,光云科技,28.5,56.34%,36.75%,2.89亿
7,301378,通达海,45.49,55.42%,61.49%,-2.76亿
8,300785,值得买,69.91,50.18%,101.22%,3.36亿
9,300253,卫宁健康,13.98,47.16%,70.25%,18.59亿
10,300342,天银机电,53.05,47.03%,84.37%,2.60亿
11,688387,信科移动,19.3,46.21%,32.24%,-9.21亿
12,300246,宝莱特,13.09,43.85%,53.59%,-5337.69万
13,300816,艾可蓝,69.0,42.56%,32.00%,-3.73亿
14,688679,通源环境,36.0,39.48%,23.44%,6501.75万
15,300624,万兴科技,105.11,39.42%,71.54%,16.25亿
16,300418,昆仑万维,62.73,39.34%,54.58%,45.53亿
17,300058,蓝色光标,20.85,38.45%,107.56%,-8.86亿
18,688031,星环科技,193.18,38.16%,43.36%,2.17亿
19,688568,中科星图,84.25,38.11%,20.98%,12.41亿
20,688375,国博电子,158.93,38.04%,8.74%,7.02亿
21,300987,川网传媒,23.9,37.91%,51.59%,3564.98万
22,300364,中文在线,37.02,37.77%,83.15%,17.25亿
23,300044,ST赛为,5.9,36.89%,56.24%,2.11亿
24,300442,润泽科技,80.56,34.69%,21.94%,15.57亿
25,300578,会畅科技,27.79,34.19%,88.18%,1.20亿
26,600477,杭萧钢构,4.36,33.33%,17.69%,-17.54亿
27,600676,交运股份,8.22,33.23%,5.49%,-8362.51万
28,2131,利欧股份,9.03,33.19%,13.50%,-21.52亿
29,2342,巨力索具,13.29,33.17%,43.74%,-7.38亿
30,600776,东方通信,24.63,33.14%,27.62%,-16.05亿
31,600783,鲁信创投,39.44,33.11%,22.63%,-3.50亿
32,2931,锋龙股份,61.79,33.11%,1.33%,-1.53亿
33,2115,三维通信,17.81,33.11%,39.21%,-3.21亿
34,3007,直真科技,54.34,33.09%,38.50%,-5.09亿
35,603598,引力传媒,31.37,33.09%,17.14%,-8.10亿
36,2400,省广集团,12.55,33.09%,63.74%,-21.08亿
37,2044,美年健康,7.41,33.03%,6.51%,-9.32亿
38,301159,三维天地,51.49,32.77%,64.26%,-2.36亿
39,301231,荣信文化,44.55,32.47%,109.27%,2.37亿
40,300315,掌趣科技,6.86,32.43%,55.74%,8.04亿
41,688118,普元信息,35.32,32.28%,46.82%,1.47亿
42,301117,佳缘科技,70.4,31.44%,108.87%,4.81亿
43,688787,海天瑞声,165.02,31.37%,36.32%,2.01亿
44,300229,拓尔思,26.8,30.86%,58.89%,16.99亿
45,593,德龙汇能,15.83,30.72%,29.72%,-3.01亿
46,301093,华兰股份,62.63,30.64%,20.59%,2.30亿
47,603888,新华网,26.91,30.57%,19.23%,-9.06亿
48,300078,思创医惠,5.68,30.57%,44.02%,-6144.92万
49,3041,真爱美家,70.44,30.54%,16.71%,-1.74亿
50,300170,汉得信息,29.55,30.35%,89.58%,8.70亿
51,603778,国晟科技,25.2,30.17%,33.24%,-1.71亿
52,688119,中钢洛耐,7.85,28.48%,30.52%,-5969.30万
53,300781,因赛集团,47.68,28.28%,79.53%,3.74亿
54,300711,广哈通信,30.69,28.14%,33.95%,811.23万
55,2969,嘉美包装,17.55,28.10%,26.25%,-3.65亿
56,301060,兰卫医学,13.28,28.06%,18.95%,-5564.92万
57,688615,合合信息,320.28,28.03%,25.72%,13.76亿
58,301556,托普云农,143.01,27.60%,85.34%,2.40亿
59,300830,金现代,13.66,27.43%,93.56%,5.20亿
60,600637,东方明珠,15.39,27.09%,25.78%,-6.66亿
61,603000,人民网,25.48,26.96%,9.08%,-11.22亿
62,600986,浙文互联,11.26,26.94%,38.91%,-11.14亿
63,603171,税友股份,82.0,26.93%,8.08%,-5413.30万
64,300553,集智股份,50.59,26.86%,62.20%,-5525.18万
