板块,提及次数,正向词命中,负向词命中,中性词命中,宏观词命中,舆论分,热度分,较上一期热度变化
消费,4,10,0,2,14,7.4,15.4,+12.4
金融,2,3,0,0,3,3.2,7.2,NEW
酒店,1,3,0,0,1,3.6,5.6,NEW
百货,1,3,0,0,1,3.6,5.6,NEW
电力,1,4,0,2,4,2.6,4.6,+3.0
一带一路,1,4,0,2,4,2.6,4.6,NEW
航空机场,1,3,0,0,6,1.8,3.8,NEW
公交,1,3,0,0,6,1.8,3.8,NEW
高速公路,1,3,0,0,6,1.8,3.8,NEW
物流,2,4,0,4,19,-1.0,3.0,+1.6
军工,1,0,0,0,0,0.0,2.0,-1.0
钢铁,1,0,0,0,2,-0.4,1.6,NEW
汽车,1,4,0,4,17,-0.6,1.4,NEW
人工智能,1,4,0,4,17,-0.6,1.4,-0.2
食品,1,4,0,4,17,-0.6,1.4,-3.5
石油石化,1,0,0,2,1,-0.8,1.2,NEW
教育,1,0,0,4,1,-1.4,0.6000000000000001,+8.5
机器人,1,0,0,1,16,-3.5,-1.5,-3.5
