日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260713,机器人,9.0,观察,300024,机器人,机器人|人形机器人|工业机器人|减速器
20260713,消费,7.0,观察,000921,海信家电,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,000978,桂林旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,002059,云南旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,002627,三峡旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,002707,众信旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,300859,西域旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,600054,黄山旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,600749,西藏旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,603199,九华旅游,消费|白酒|食品饮料|家电
20260713,消费,7.0,观察,603402,陕西旅游,消费|白酒|食品饮料|家电
20260713,石油石化,5.0,观察,000554,泰山石油,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,000703,恒逸石化,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,000852,石化机械,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,002267,陕天然气,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,002493,荣盛石化,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,300164,通源石油,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,600028,中国石化,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,600346,恒力石化,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,600688,上海石化,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,600871,石化油服,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,601857,中国石油,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,603353,和顺石油,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,603393,新天然气,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,603619,中曼石油,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,603689,皖天然气,石油|石化|天然气|油气
20260713,石油石化,5.0,观察,688669,聚石化学,石油|石化|天然气|油气
20260713,物流,4.0,观察,000520,凤凰航运,物流|快递|航运|港口
20260713,物流,4.0,观察,001872,招商港口,物流|快递|航运|港口
