股票代码,股票名称,命中策略数,来源策略,综合评分,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20
000009,中国宝安,1,Boll,50,6.85,12,12330.0,6.85,6.51,7.19,6.85
000017,深中华A,1,Boll,50,5.02,12,12048.0,5.02,4.77,5.27,5.02
000028,国药一致,1,Boll,50,19.74,12,11844.0,19.74,18.75,20.73,19.74
000034,神州数码,1,Boll,50,22.15,12,11075.0,22.15,21.04,23.26,22.15
000058,深 赛 格,1,Boll,50,6.73,12,12114.0,6.73,6.39,7.07,6.73
000066,中国长城,1,Boll,50,15.69,12,12552.0,15.69,14.91,16.47,15.69
000153,丰原药业,1,Boll,50,5.31,12,12213.0,5.31,5.04,5.58,5.31
000156,华数传媒,1,Boll,50,6.33,12,12027.0,6.33,6.01,6.65,6.33
000301,东方盛虹,1,Boll,50,11.61,12,11610.0,11.61,11.03,12.19,11.61
000425,徐工机械,1,Boll,50,8.64,12,12096.0,8.64,8.21,9.07,8.64
000501,武商集团,1,Boll,50,7.1,12,12070.0,7.1,6.74,7.46,7.1
000504,南华生物,1,Boll,50,8.47,12,11858.0,8.47,8.05,8.89,8.47
000524,岭南控股,1,Boll,50,8.78,12,12292.0,8.78,8.34,9.22,8.78
000528,柳    工,1,Boll,50,8.21,12,12315.0,8.21,7.8,8.62,8.21
000532,华金资本,1,Boll,50,11.43,12,11430.0,11.43,10.86,12.0,11.43
000533,顺钠股份,1,Boll,50,10.53,12,11583.0,10.53,10.0,11.06,10.53
000534,万泽股份,1,Boll,50,29.42,12,11768.0,29.42,27.95,30.89,29.42
000544,中原环保,1,Boll,50,7.39,12,11824.0,7.39,7.02,7.76,7.39
000567,海德股份,1,Boll,50,5.5,12,12100.0,5.5,5.22,5.78,5.5
000571,新大洲A,1,Boll,50,5.34,12,11748.0,5.34,5.07,5.61,5.34
000582,北部湾港,1,Boll,50,11.21,12,12331.0,11.21,10.65,11.77,11.21
000586,汇源通信,1,Boll,50,14.59,12,11672.0,14.59,13.86,15.32,14.59
000601,韶能股份,1,Boll,50,6.9,12,11730.0,6.9,6.55,7.25,6.9
000609,*ST中迪,1,Boll,50,11.66,12,11660.0,11.66,11.08,12.24,11.66
000612,焦作万方,1,Boll,50,10.58,12,11638.0,10.58,10.05,11.11,10.58
000623,吉林敖东,1,Boll,50,16.45,12,11515.0,16.45,15.63,17.27,16.45
000626,远大控股,1,Boll,50,7.16,12,12172.0,7.16,6.8,7.52,7.16
000650,仁和药业,1,Boll,50,5.13,12,11799.0,5.13,4.87,5.39,5.13
000655,金岭矿业,1,Boll,50,6.8177137,12,12272.0,6.8177137,6.48,7.16,6.82
000663,永安林业,1,Boll,50,5.6,12,11760.0,5.6,5.32,5.88,5.6
000678,襄阳轴承,1,Boll,50,10.24,12,12288.0,10.24,9.73,10.75,10.24
000685,中山公用,1,Boll,50,10.25,12,12300.0,10.25,9.74,10.76,10.25
000686,东北证券,1,Boll,50,7.4,12,11840.0,7.4,7.03,7.77,7.4
000703,恒逸石化,1,Boll,50,12.39,12,12390.0,12.39,11.77,13.01,12.39
000705,浙江震元,1,Boll,50,6.6,12,11880.0,6.6,6.27,6.93,6.6
000712,锦龙股份,1,Boll,50,8.49,12,11886.0,8.49,8.07,8.91,8.49
000726,鲁  泰Ａ,1,Boll,50,5.65,12,11865.0,5.65,5.37,5.93,5.65
000728,国元证券,1,Boll,50,6.65,12,11970.0,6.65,6.32,6.98,6.65
000729,燕京啤酒,1,Boll,50,11.46,12,11460.0,11.46,10.89,12.03,11.46
000756,新华制药,1,Boll,50,12.19,12,12190.0,12.19,11.58,12.8,12.19
000783,长江证券,1,Boll,50,7.09,12,12053.0,7.09,6.74,7.44,7.09
000786,北新建材,1,Boll,50,20.37,12,12222.0,20.37,19.35,21.39,20.37
000788,北大医药,1,Boll,50,5.07,12,12168.0,5.07,4.82,5.32,5.07
000791,甘肃能源,1,Boll,50,8.24,12,12360.0,8.24,7.83,8.65,8.24
000798,中水渔业,1,Boll,50,7.71,12,12336.0,7.71,7.32,8.1,7.71
000800,一汽解放,1,Boll,50,5.98,12,11960.0,5.98,5.68,6.28,5.98
000803,山高环能,1,Boll,50,7.3,12,11680.0,7.3,6.93,7.67,7.3
000818,航锦科技,1,Boll,50,12.41,12,12410.0,12.41,11.79,13.03,12.41
000828,东莞控股,1,Boll,50,9.78,12,11736.0,9.78,9.29,10.27,9.78
000856,冀东装备,1,Boll,50,8.12,12,12180.0,8.12,7.71,8.53,8.12
000860,顺鑫农业,1,Boll,50,10.27,12,12324.0,10.27,9.76,10.78,10.27
000869,张  裕Ａ,1,Boll,50,17.03,12,11921.0,17.03,16.18,17.88,17.03
000888,峨眉山Ａ,1,Boll,50,9.56,12,12428.0,9.56,9.08,10.04,9.56
000905,厦门港务,1,Boll,50,8.36,12,11704.0,8.36,7.94,8.78,8.36
000910,大亚圣象,1,Boll,50,5.81,12,12201.0,5.81,5.52,6.1,5.81
000913,钱江摩托,1,Boll,50,11.12,12,12232.0,11.12,10.56,11.68,11.12
000919,金陵药业,1,Boll,50,5.94,12,11880.0,5.94,5.64,6.24,5.94
000922,佳电股份,1,Boll,50,12.03,12,12030.0,12.03,11.43,12.63,12.03
000933,神火股份,1,Boll,50,26.77,12,10708.0,26.77,25.43,28.11,26.77
000936,华西股份,1,Boll,50,5.64,12,11844.0,5.64,5.36,5.92,5.64
000948,南天信息,1,Boll,50,12.36,12,12360.0,12.36,11.74,12.98,12.36
000975,山金国际,1,Boll,50,20.52,12,12312.0,20.52,19.49,21.55,20.52
000985,大庆华科,1,Boll,50,16.18,12,11326.0,16.18,15.37,16.99,16.18
000987,越秀资本,1,Boll,50,7.11,12,12087.0,7.11,6.75,7.47,7.11
000989,九芝堂,1,Boll,50,7.79,12,11685.0,7.79,7.4,8.18,7.79
000997,新 大 陆,1,Boll,50,17.09,12,11963.0,17.09,16.24,17.94,17.09
000998,隆平高科,1,Boll,50,8.09,12,12135.0,8.09,7.69,8.49,8.09
001205,盛航股份,1,Boll,50,13.76,12,12384.0,13.76,13.07,14.45,13.76
001206,依依股份,1,Boll,50,15.66,12,12528.0,15.66,14.88,16.44,15.66
001207,联科科技,1,Boll,50,17.16,12,12012.0,17.16,16.3,18.02,17.16
001219,青岛食品,1,Boll,50,12.88,12,11592.0,12.88,12.24,13.52,12.88
001230,劲旅环境,1,Boll,50,17.38,12,12166.0,17.38,16.51,18.25,17.38
001255,博菲电气,1,Boll,50,28.42,12,11368.0,28.42,27.0,29.84,28.42
001279,强邦新材,1,Boll,50,25.63,12,12815.0,25.63,24.35,26.91,25.63
001312,福恩股份,1,Boll,50,18.85,12,11310.0,18.85,17.91,19.79,18.85
001336,楚环科技,1,Boll,50,24.5,12,12250.0,24.5,23.27,25.73,24.5
001338,永顺泰,1,Boll,50,9.6,12,11520.0,9.6,9.12,10.08,9.6
