股票代码,股票名称,来源策略,建议买入价
000014,沙河股份,Boll,10.1
000089,深圳机场,Boll,6.27670092
000409,云鼎科技,Boll,8.91
000421,南京公用,Boll,5.44
000429,粤高速Ａ,Boll,13.14
000504,南华生物,Boll,8.2
000528,柳    工,Boll,8.27
000590,古汉医药,Boll,9.27
000605,渤海股份,Boll,5.92
000702,正虹科技,Boll,5.44
000705,浙江震元,Boll,6.55
000713,国投丰乐,Boll,5.78
000719,中原传媒,Boll,11.56
000721,西安饮食,Boll,6.07
000726,鲁  泰Ａ,Boll,5.69
000729,燕京啤酒,Boll,10.95
000731,四川美丰,Boll,5.81
000752,*ST西发,Boll,8.72
000801,四川九洲,Boll,11.97
000803,山高环能,Boll,7.14
000807,云铝股份,Boll,25.38
000828,东莞控股,Boll,9.84
000848,承德露露,Boll,7.71
000876,新 希 望,Boll,6.52
000895,双汇发展,Boll,23.54
000906,浙商中拓,Boll,5.46
000933,神火股份,Boll,24.91
000968,蓝焰控股,Boll,6.8
000985,大庆华科,Boll,15.95
000998,隆平高科,Boll,8.16
001209,洪兴股份,Boll,18.33
001300,三柏硕,Boll,14.16
001311,多利科技,Boll,18.34
001322,箭牌家居,Boll,6.01
001872,招商港口,Boll,19.85
001914,招商积余,Boll,9.14
002001,新 和 成,Boll,27.65
002003,伟星股份,Boll,8.74
002019,亿帆医药,Boll,9.93
002038,双鹭药业,Boll,5.17
002117,东港股份,Boll,8.82
002153,石基信息,Boll,7.75
002180,奔图科技,Boll,13.95
002186,全 聚 德,Boll,9.03
002205,国统股份,Boll,11.31
002216,三全食品,Boll,12.07
002223,鱼跃医疗,Boll,25.46
002229,鸿博股份,Boll,12.91
002233,塔牌集团,Boll,7.57
002235,安妮股份,Boll,9.39
002244,滨江集团,Boll,8.61
002262,恩华药业,Boll,19.13
002264,新 华 都,Boll,6.27
002267,陕天然气,Boll,6.84
002282,博深股份,Boll,6.02
002292,奥飞娱乐,Boll,6.71
002317,众生药业,Boll,21.85
002349,精华制药,Boll,6.41
002360,ST同德,Boll,5.47
002367,康力电梯,Boll,5.24
002370,亚太药业,Boll,5.15
002372,伟星新材,Boll,8.74
002399,海普瑞,Boll,8.95
002410,广联达,Boll,8.83
002444,巨星科技,Boll,30.21
002461,珠江啤酒,Boll,8.9
002468,申通快递,Boll,13.46
002483,润邦股份,Boll,5.35
002508,老板电器,Boll,16.04
002521,齐峰新材,Boll,6.99
002532,天山铝业,Boll,12.71
002541,鸿路钢构,Boll,16.53
002543,万和电气,Boll,6.74
002550,千红制药,Boll,5.82
002555,三七互娱,Boll,17.83
002557,洽洽食品,Boll,19.89
002563,森马服饰,Boll,5.36
002565,顺灏股份,Boll,13.49
002646,天佑德酒,Boll,6.83
002648,卫星化学,Boll,22.33
002650,ST加加,Boll,7.27
002661,克明食品,Boll,7.45
002695,煌上煌,Boll,11.43
002732,燕塘乳业,Boll,13.58
002737,葵花药业,Boll,12.41
002746,仙坛股份,Boll,5.46
002749,国光股份,Boll,8.51
002769,普路通,Boll,7.43
002773,康弘药业,Boll,20.1
002791,坚朗五金,Boll,14.11
002862,实丰文化,Boll,14.67
002884,凌霄泵业,Boll,16.06
