股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct,因子分
002636,金安国纪,1,CCTV,35.0,6.6,104.41,0.5,10441.0,104.41,32.78973477300746,101.66126522699253,67.2255,0.12,15.0
688146,中船特气,1,CCTV,35.0,6.6,364.0,0.5,36400.0,364.0,106.17994569587387,363.3900543041261,234.785,0.12,15.0
688519,南亚新材,1,CCTV,34.9,6.6,397.0,0.5,39700.0,397.0,166.5151065242918,371.9788934757082,269.247,0.12,15.0
300285,国瓷材料,1,CCTV,34.9,6.6,89.53,0.5,8953.0,89.53,43.07990689536076,77.27509310463924,60.177499999999995,0.12,15.0
000636,风华高科,1,CCTV,34.9,6.6,74.49,0.5,7449.0,74.49,40.08409366419555,74.67990633580446,57.382000000000005,0.12,15.0
688549,中巨芯-U,1,CCTV,34.9,6.6,34.77,0.5,3477.0,34.77,8.942143228692839,32.47785677130716,20.71,0.12,15.0
688662,富信科技,1,CCTV,34.9,6.6,142.91,0.5,14291.0,142.91,43.85251784824532,131.0254821517547,87.43900000000001,0.12,15.0
300319,麦捷科技,1,CCTV,34.8,6.6,27.76,0.5,2776.0,27.76,12.444836372369448,25.846163627630556,19.145500000000002,0.12,15.0
603186,华正新材,1,CCTV,34.8,6.6,238.11,0.5,23811.0,238.11,91.14835179330987,212.4436482066901,151.796,0.12,15.0
600162,香江控股,1,CCTV,34.8,6.6,3.57,0.5,714.0,3.57,2.041198626449919,4.040801373550081,3.041,0.12,15.0
688260,昀冢科技,1,CCTV,34.8,6.6,129.03,0.5,12903.0,129.03,68.9985367544397,115.18146324556031,92.09,0.12,15.0
301319,唯特偶,1,CCTV,34.7,6.6,170.31,0.5,17031.0,170.31,84.23531998175852,165.19768001824147,124.7165,0.12,15.0
