股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20
600887,伊利股份,2,Relativity/Theme,79.6,19.2,26.58,6.4,6400.0,26.58,24.095651736780137,27.423348263219868,25.759500000000003
600872,中炬高新,2,Relativity/Theme,79.0,19.2,19.11,6.4,6400.0,19.11,17.588061481665683,19.181693800334315,18.384877641
600867,通化东宝,2,Relativity/Theme,73.8,19.2,8.25,6.4,6400.0,8.25,7.859571712979187,8.518428287020814,8.189
600535,天士力,1,Theme,15.0,2.7,15.73,0.2,225.0,15.73,13.442178343354113,16.452821656645888,14.9475
601600,中国铝业,1,Theme,14.1,2.7,9.36,0.2,225.0,9.36,7.840163056031374,9.645836943968627,8.743
300534,陇神戎发,1,Momentum,14.0,2.4,14.25,0.3,343.0,14.25,5.93487216320703,14.318127836792971,10.1265
601225,陕西煤业,1,Theme,13.9,2.7,24.4,0.2,225.0,24.4,21.62669109774864,25.706308902251358,23.6665
000779,甘咨询,1,Momentum,13.7,2.4,11.67,0.3,343.0,11.67,7.9117504475157965,11.975249552484204,9.9435
600258,首旅酒店,1,Theme,13.5,2.7,12.16,0.2,225.0,12.16,11.060493176500279,12.176506823499723,11.618500000000001
603118,共进股份,1,Momentum,13.2,2.4,17.31,0.3,343.0,17.31,11.734948675821594,16.895051324178407,14.315000000000001
002860,星帅尔,1,Momentum,12.9,2.4,19.77,0.3,343.0,19.77,14.8113614310079,18.4936385689921,16.6525
002440,闰土股份,1,Momentum,12.4,2.4,12.4,0.3,343.0,12.4,9.409899314688648,12.84110068531135,11.125499999999999
600583,海油工程,1,Theme,11.8,2.7,5.51,0.2,225.0,5.51,5.001952906992976,5.636047093007024,5.319
000566,海南海药,1,Momentum,11.6,2.4,5.83,0.3,343.0,5.83,4.4307025394447335,6.1622974605552665,5.2965
600585,海螺水泥,1,Theme,10.9,2.7,17.96,0.2,225.0,17.96,16.616326698101847,18.115673301898152,17.366
002832,比音勒芬,1,Momentum,10.4,2.4,25.35,0.3,343.0,25.35,19.55956096901964,23.738439030980363,21.649
603317,天味食品,1,Theme,8.9,2.7,13.8,0.2,225.0,13.8,13.289750284777085,14.221249715222918,13.755500000000001
600060,海信视像,1,Theme,7.7,2.7,27.59,0.2,225.0,27.59,26.171153599228095,28.082846400771903,27.127
600096,云天化,1,Theme,7.2,2.7,29.4,0.2,225.0,29.4,26.66373061059621,31.13826938940379,28.901
