股票代码,股票名称,命中策略数,来源策略,综合评分,权重,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20,stop_pct
601857,中国石油,1,Theme,15.1,2.4,10.86,0.3,267.0,10.86,9.366618468361482,11.58838153163852,10.477500000000001,0.0649
600801,华新建材,1,Theme,14.7,2.4,21.46,0.3,267.0,21.46,17.36224307369255,23.11975692630745,20.241,0.0902
003032,传智教育,1,Momentum,14.0,2.4,10.66,0.4,400.0,10.66,3.5840368469262787,9.083963153073721,6.3340000000000005,0.12
603939,益丰药房,1,Theme,13.9,2.4,22.44,0.3,267.0,22.44,20.202686689307633,23.085313310692364,21.644,0.04
300795,米奥会展,1,Momentum,13.8,2.4,15.58,0.4,400.0,15.58,6.977980521407706,16.277019478592297,11.627500000000001,0.12
002659,凯文教育,1,Momentum,13.6,2.4,5.07,0.4,400.0,5.07,3.5127338791907086,4.613266120809293,4.063000000000001,0.0968
601700,风范股份,1,Momentum,13.4,2.4,5.92,0.4,400.0,5.92,4.139074795418679,5.359925204581321,4.7495,0.1064
688758,赛分科技,1,Momentum,13.1,2.4,26.39,0.4,400.0,26.39,20.467951068448222,26.701048931551775,23.5845,0.12
000739,普洛药业,1,Momentum,12.9,2.4,22.12,0.4,400.0,22.12,17.93664758588949,21.70035241411051,19.8185,0.1036
601919,中远海控,1,Theme,12.9,2.4,15.36,0.3,267.0,15.36,13.915393914459356,15.92460608554064,14.919999999999998,0.04
603766,隆鑫通用,1,Theme,12.6,2.4,14.38,0.3,267.0,14.38,11.898086872578205,15.018913127421797,13.4585,0.0658
600452,涪陵电力,1,Theme,12.4,2.4,9.93,0.3,267.0,9.93,8.78532129972487,10.288678700275131,9.537,0.0798
