date,cash,holding_value,total,peak,drawdown
2026-06-16,100000.0,0.0,100000.0,100000.0,0.0
2026-06-17,61936.26,38198.0,100134.26,100134.26,0.0
2026-06-18,85002.07,16261.0,101263.07,101263.07,0.0
2026-06-22,93454.36,8564.0,102018.36,102018.36,0.0
2026-06-23,93454.36,7828.0,101282.36,102018.36,-0.7214387684726553
2026-06-24,99744.52,1355.0,101099.52,102018.36,-0.9006614103578968
2026-06-25,99744.52,1338.0,101082.52,102018.36,-0.9173250775644664
2026-06-26,99744.52,1339.0,101083.52,102018.36,-0.9163448618464328
2026-06-29,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-06-30,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-01,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-02,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-03,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-06,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-07,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-08,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-09,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
2026-07-10,101077.52,0.0,101077.52,102018.36,-0.9222261561546338
