code,buy_date,sell_date,buy_price,sell_price,qty,return_pct
2735,2026-06-18,2026-06-29,20.44,15.794,100,-22.73
600987,2026-06-18,2026-06-29,6.406,6.184,500,-3.47
600886,2026-06-18,2026-06-29,13.313,13.337,200,0.18
600993,2026-06-18,2026-06-29,22.873,22.248,100,-2.73
600992,2026-06-18,2026-06-29,9.81,8.671,300,-11.61
601566,2026-06-18,2026-06-29,9.219,8.112,300,-12.01
601512,2026-06-18,2026-06-29,7.998,7.562,400,-5.45
601238,2026-06-18,2026-06-29,5.686,5.115,500,-10.04
601222,2026-06-18,2026-06-29,5.916,5.405,500,-8.64
601200,2026-06-18,2026-06-29,7.097,6.663,400,-6.11
601579,2026-06-18,2026-06-29,15.315,15.085,200,-1.5
601139,2026-06-18,2026-06-29,6.086,5.654,500,-7.09
601058,2026-06-18,2026-06-29,11.822,11.908,200,0.73
601019,2026-06-18,2026-06-29,6.697,6.573,400,-1.84
601007,2026-06-18,2026-06-29,6.306,6.044,500,-4.16
600997,2026-06-18,2026-06-29,5.015,4.825,600,-3.79
601155,2026-06-18,2026-06-29,11.161,10.509,200,-5.84
600869,2026-06-18,2026-06-29,33.293,33.077,100,-0.65
603608,2026-06-18,2026-06-29,24.895,22.148,100,-11.03
1696,2026-06-18,2026-06-29,24.244,21.938,100,-9.51
725,2026-06-18,2026-06-29,6.867,7.942,400,15.66
510,2026-06-18,2026-06-29,21.952,26.274,100,19.69
2585,2026-06-18,2026-06-29,14.805,12.368,200,-16.46
600110,2026-06-18,2026-06-29,17.517,14.715,100,-16.0
605006,2026-06-18,2026-06-29,23.423,22.428,100,-4.25
603065,2026-06-18,2026-06-29,14.825,19.65,200,32.55
608,2026-06-18,2026-06-29,7.007,6.304,400,-10.04
600977,2026-06-18,2026-06-29,13.754,13.077,200,-4.92
600975,2026-06-18,2026-06-29,4.464,4.376,700,-1.99
