code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,exit_reason
300067,2026-06-23,2026-06-24,5.576,5.994,300,7.5,take_partial
002223,2026-06-23,2026-06-24,24.665,25.155,200,1.99,trend_break
688153,2026-06-23,2026-06-24,30.513,31.132,200,2.03,trend_break
601985,2026-06-23,2026-06-24,8.929,8.641,100,-3.22,trend_break
600036,2026-06-23,2026-06-24,36.677,35.744,100,-2.54,trend_break
601916,2026-06-23,2026-06-24,2.882,2.866,100,-0.55,trend_break
601818,2026-06-23,2026-06-24,3.023,2.967,100,-1.85,trend_break
300067,2026-06-23,2026-06-26,5.576,5.435,800,-2.53,trend_break
001965,2026-06-23,2026-06-26,9.607,9.213,600,-4.1,stop_hard
605208,2026-06-23,2026-06-26,15.746,14.898,100,-5.38,stop_hard
