code,buy_date,sell_date,buy_price,sell_price,qty,return_pct,strategies
000830,2026-05-18,2026-05-19,14.83,14.39,2029,-3.05,boll
002379,2026-05-18,2026-05-19,20.76,21.0,1419,1.07,boll
601677,2026-05-18,2026-05-19,16.51,16.72,1785,1.19,boll
600557,2026-05-19,2026-05-21,12.82,12.52,2329,-2.42,boll
600900,2026-05-19,2026-05-22,26.89,26.73,1110,-0.68,boll
000830,2026-05-25,2026-05-26,13.46,13.06,2195,-3.05,boll
600559,2026-05-25,2026-05-26,12.67,12.58,2347,-0.79,boll
600012,2026-05-19,2026-05-27,15.51,16.4,1909,5.65,boll
600559,2026-05-28,2026-05-29,12.58,12.19,2353,-3.18,boll
600323,2026-05-26,2026-05-29,29.94,29.71,990,-0.85,boll
600900,2026-05-26,2026-06-01,26.66,27.74,1113,3.97,boll
601033,2026-05-29,2026-06-09,14.2,14.18,2097,-0.22,boll
601928,2026-06-01,2026-06-11,8.88,9.31,3381,4.76,boll
601677,2026-06-12,2026-06-17,16.8,16.75,1842,-0.38,boll
600887,2026-05-29,2026-06-17,25.02,24.85,1183,-0.76,boll
600323,2026-06-17,2026-06-18,28.7,28.9,1041,0.61,boll
600004,2026-06-10,2026-06-24,8.06,7.55,3719,-6.41,boll
600900,2026-06-18,2026-06-25,26.93,26.5,1126,-1.68,boll
600559,2026-06-25,2026-07-01,11.46,11.14,2547,-2.88,boll
002379,2026-07-02,2026-07-03,14.72,14.68,2048,-0.35,boll
600557,2026-06-26,2026-07-06,11.25,12.6,2589,11.91,boll
601677,2026-07-06,2026-07-10,15.92,15.29,1931,-4.04,boll
600559,2026-07-08,2026-07-10,11.1,10.91,2778,-1.79,boll
