num_trades,initial_capital,ending_total,total_return,max_drawdown,win_rate,avg_return,avg_win,avg_loss,profit_factor,sharpe,strategies,signal_mode,date,run_date,signal_start,signal_end,hold_days,exit_mode,size_mode,vol_mode,dd_breaker_dd,dd_breaker_extra_cash,capital_scale,cash_pct,signals_days,codes_count,start,end
8,100000.0,99807.5,-0.19,-0.4,25.0,-1.39,9.63,-5.06,0.63,-0.62,"boll,cctv,theme",forward,20250815,20260811,2025-08-15,2025-08-15,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.0,0,0.3,70.0,1,15,2025-08-15,2025-08-25
7,100000.0,99169.77,-0.83,-0.83,42.9,-4.59,3.56,-10.7,0.25,-2.99,"cctv,theme",forward,20250822,20260811,2025-08-22,2025-08-22,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.03,0,0.3,70.0,1,9,2025-08-22,2025-09-01
7,100000.0,99616.89,-0.38,-0.57,42.9,-1.58,4.94,-6.47,0.57,-1.44,"boll,cctv,theme",forward,20250829,20260811,2025-08-29,2025-08-29,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.05,0,0.3,70.0,1,11,2025-08-29,2025-09-08
1,100000.0,98934.99,-1.07,-1.07,0.0,-7.16,0.0,-7.16,0.0,-2.59,"cctv,theme",forward,20250905,20260811,2025-09-05,2025-09-05,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.09,0,0.3,70.0,1,2,2025-09-05,2025-09-15
6,100000.0,98580.61,-1.42,-1.48,16.7,-6.08,5.86,-8.47,0.14,-4.64,"cctv,theme",forward,20250912,20260811,2025-09-12,2025-09-12,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.16,0,0.3,70.0,1,6,2025-09-12,2025-09-22
10,100000.0,100159.39,0.16,-0.34,80.0,2.23,4.59,-7.19,2.55,0.9,"boll,cctv,theme",forward,20250919,20260811,2025-09-19,2025-09-19,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.16,0,0.3,70.0,1,12,2025-09-19,2025-09-29
6,100000.0,99702.89,-0.3,-0.3,33.3,-2.68,1.19,-4.61,0.13,-3.12,"boll,cctv,theme",forward,20250926,20260811,2025-09-26,2025-09-26,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,15,2025-09-26,2025-10-06
2,100000.0,99185.47,-0.81,-1.0,0.0,-4.71,0.0,-4.71,0.0,-2.57,"boll,cctv",forward,20251003,20260811,2025-10-03,2025-10-03,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,3,2025-10-03,2025-10-13
12,100000.0,100738.96,0.74,-0.1,100.0,5.3,5.3,0.0,99.99,3.49,"boll,cctv,theme",forward,20251010,20260811,2025-10-10,2025-10-10,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,10,2025-10-10,2025-10-20
5,100000.0,100521.31,0.52,-0.07,80.0,5.53,7.54,-2.5,12.06,2.99,"boll,cctv",forward,20251017,20260811,2025-10-17,2025-10-17,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,8,2025-10-17,2025-10-27
11,100000.0,100196.34,0.2,-0.21,81.8,3.58,5.69,-5.93,4.32,1.39,"boll,cctv,theme",forward,20251024,20260811,2025-10-24,2025-10-24,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,15,2025-10-24,2025-11-03
7,100000.0,100556.07,0.56,0.0,100.0,4.25,4.25,0.0,99.99,3.45,"boll,cctv,theme",forward,20251031,20260811,2025-10-31,2025-10-31,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,8,2025-10-31,2025-11-10
6,100000.0,100092.34,0.09,-0.28,66.7,0.77,2.04,-1.75,2.32,0.57,"boll,cctv",forward,20251107,20260811,2025-11-07,2025-11-07,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,8,2025-11-07,2025-11-17
8,100000.0,99364.37,-0.64,-0.77,37.5,-3.61,4.46,-8.45,0.32,-3.18,"boll,cctv,theme",forward,20251114,20260811,2025-11-14,2025-11-14,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,12,2025-11-14,2025-11-24
15,100000.0,99847.07,-0.15,-0.27,46.7,0.73,4.75,-2.78,1.49,-0.75,"boll,cctv,theme",forward,20251121,20260811,2025-11-21,2025-11-21,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,15,2025-11-21,2025-12-01
7,100000.0,100101.0,0.1,-0.26,71.4,1.34,4.47,-6.5,1.72,0.48,"boll,cctv",forward,20251128,20260811,2025-11-28,2025-11-28,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,7,2025-11-28,2025-12-08
10,100000.0,100119.47,0.12,-0.26,70.0,4.73,12.13,-12.52,2.26,0.53,"boll,cctv",forward,20251205,20260811,2025-12-05,2025-12-05,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,9,2025-12-05,2025-12-15
13,100000.0,99989.83,-0.01,-0.4,76.9,2.07,4.35,-5.54,2.61,-0.05,"boll,cctv",forward,20251212,20260811,2025-12-12,2025-12-12,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,15,2025-12-12,2025-12-22
8,100000.0,101007.21,1.01,-0.09,75.0,7.22,11.21,-4.75,7.08,2.89,"boll,cctv",forward,20251219,20260811,2025-12-19,2025-12-19,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,9,2025-12-19,2025-12-29
7,100000.0,99805.7,-0.19,-0.26,57.1,0.73,5.15,-5.16,1.33,-1.25,"boll,cctv",forward,20251226,20260811,2025-12-26,2025-12-26,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,13,2025-12-26,2026-01-05
8,100000.0,99977.55,-0.02,-0.34,62.5,2.48,6.6,-4.39,2.5,-0.13,"boll,cctv,theme",forward,20260109,20260811,2026-01-09,2026-01-09,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,15,2026-01-09,2026-01-19
10,100000.0,100336.21,0.34,-0.1,90.0,4.19,5.59,-8.49,5.93,2.33,"cctv,theme",forward,20260116,20260811,2026-01-16,2026-01-16,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,14,2026-01-16,2026-01-26
11,100000.0,100430.56,0.43,-0.72,72.7,3.22,5.61,-3.14,4.76,0.86,"boll,cctv,theme",forward,20260130,20260811,2026-01-30,2026-01-30,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,7,2026-01-30,2026-02-09
6,100000.0,99742.0,-0.26,-0.29,50.0,-1.3,2.62,-5.23,0.5,-3.36,"boll,cctv,theme",forward,20260206,20260811,2026-02-06,2026-02-06,10,boll_upper_take+take6%+trailing5%+MA60break,adaptive_weight(权重),scaled_stop+pos0.30000000000000004,0.19,0,0.3,70.0,1,15,2026-02-06,2026-02-16
