信号日期,配比来源,市场状态,配比原因,boll权重(%),theme权重(%),relativity权重(%),cctv权重(%),cash权重(%),boll净收益率(%),theme净收益率(%),relativity净收益率(%),cctv净收益率(%),组合净收益率(%),组合资金(元),组合回撤(%)
20260329,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,-2.133,0.0,0.0,0.0,-0.853,99146.67,0.0
20260330,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,-2.236,0.0,0.0,0.0,-0.894,98260.0,-0.894
20260331,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,0.414,0.0,0.0,0.0,0.165,98422.52,-0.73
20260401,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,-3.804,0.0,0.0,0.0,-1.522,96924.92,-2.241
20260402,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,5.264,0.0,0.0,0.0,2.106,98965.77,-0.182
20260406,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,1.408,0.0,0.0,0.0,0.563,99523.31,0.0
20260408,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,0.669,0.0,0.0,0.0,0.268,99789.71,0.0
20260409,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,0.62,0.0,0.0,0.0,0.248,100037.04,0.0
20260410,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,1.574,0.0,0.0,0.0,0.63,100666.87,0.0
20260413,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,0.445,0.0,0.0,0.0,0.178,100846.14,0.0
20260415,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,0.313,0.0,0.0,0.0,0.125,100972.4,0.0
20260417,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,1.588,0.0,0.0,0.0,0.635,101613.78,0.0
20260424,手工默认配比,未启用自动,使用页面/参数输入的默认权重,40.0,25.0,20.0,10.0,5.0,2.41,0.0,0.0,0.0,0.964,102593.33,0.0
