策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
boll,20260329,601919,中远海控,2026-03-30,2026-04-03,15.17,15.04,15.1776,15.0325,5,-0.956,-1.114,0.158,-1.055
boll,20260329,600566,济川药业,2026-03-30,2026-04-03,25.38,26.68,25.3927,26.6667,5,5.017,4.849,0.168,0.0
boll,20260329,600027,华电国际,2026-03-30,2026-04-03,5.05,4.55,5.0525,4.5477,5,-9.991,-10.135,0.144,-9.901
boll,20260330,600017,日照港,2026-03-31,2026-04-07,3.1,3.05,3.1016,3.0485,5,-1.711,-1.868,0.157,-1.613
boll,20260330,001286,陕西能源,2026-03-31,2026-04-07,10.97,10.99,10.9755,10.9845,5,0.082,-0.078,0.16,-1.732
boll,20260330,601158,重庆水务,2026-03-31,2026-04-07,4.54,4.32,4.5423,4.3178,5,-4.941,-5.093,0.152,-4.846
boll,20260330,600674,川投能源,2026-03-31,2026-04-07,15.09,14.85,15.0975,14.8426,5,-1.689,-1.846,0.157,-2.253
boll,20260330,002965,祥鑫科技,2026-03-31,2026-04-07,28.64,28.0,28.6543,27.986,5,-2.332,-2.489,0.156,-3.247
boll,20260330,600900,长江电力,2026-03-31,2026-04-07,27.14,26.48,27.1536,26.4668,5,-2.529,-2.685,0.156,-2.432
boll,20260330,600008,首创环保,2026-03-31,2026-04-07,3.15,3.07,3.1516,3.0685,5,-2.637,-2.793,0.156,-2.54
boll,20260330,603187,海容冷链,2026-03-31,2026-04-07,14.17,14.06,14.1771,14.053,5,-0.875,-1.034,0.159,-1.2
boll,20260331,000999,华润三九,2026-04-01,2026-04-08,28.12,28.18,28.1341,28.1659,5,0.113,-0.047,0.16,-0.818
boll,20260331,000876,新 希 望,2026-04-01,2026-04-08,8.26,8.44,8.2641,8.4358,5,2.077,1.914,0.163,-0.363
boll,20260331,001286,陕西能源,2026-04-01,2026-04-08,10.9,11.11,10.9055,11.1044,5,1.825,1.662,0.163,-0.642
boll,20260331,002568,百润股份,2026-04-01,2026-04-08,17.22,17.34,17.2286,17.3313,5,0.596,0.435,0.161,-2.381
boll,20260331,600642,申能股份,2026-04-01,2026-04-08,8.95,8.97,8.9545,8.9655,5,0.123,-0.037,0.16,-3.464
boll,20260331,603848,好太太,2026-04-01,2026-04-08,15.41,15.56,15.4177,15.5522,5,0.872,0.711,0.161,-3.634
boll,20260331,600578,京能电力,2026-04-01,2026-04-08,5.15,5.15,5.1526,5.1474,5,-0.1,-0.26,0.16,-2.913
boll,20260331,600188,兖矿能源,2026-04-01,2026-04-08,19.0,19.04,19.0095,19.0305,5,0.11,-0.05,0.16,0.0
boll,20260331,601919,中远海控,2026-04-01,2026-04-08,15.1,15.2,15.1075,15.1924,5,0.562,0.401,0.161,-0.397
boll,20260331,600674,川投能源,2026-04-01,2026-04-08,14.92,14.87,14.9275,14.8626,5,-0.435,-0.594,0.159,-1.139
boll,20260401,600900,长江电力,2026-04-02,2026-04-09,26.9,26.39,26.9134,26.3768,5,-1.994,-2.151,0.157,-1.896
boll,20260401,600886,国投电力,2026-04-02,2026-04-09,14.2,13.46,14.2071,13.4533,5,-5.306,-5.457,0.151,-5.282
boll,20260402,002158,汉钟精机,2026-04-03,2026-04-10,21.86,24.53,21.8709,24.5177,5,12.102,11.923,0.179,-0.274
boll,20260402,600085,同仁堂,2026-04-03,2026-04-10,28.12,27.8,28.1341,27.7861,5,-1.237,-1.395,0.158,-1.956
boll,20260406,001286,陕西能源,2026-04-07,2026-04-13,10.85,11.09,10.8554,11.0845,5,2.11,1.946,0.163,0.0
boll,20260406,600886,国投电力,2026-04-07,2026-04-13,13.82,13.29,13.8269,13.2834,5,-3.931,-4.085,0.154,-3.835
boll,20260406,600546,山煤国际,2026-04-07,2026-04-13,11.0,11.73,11.0055,11.7241,5,6.53,6.359,0.17,0.0
boll,20260406,600348,华阳股份,2026-04-07,2026-04-13,9.45,9.18,9.4547,9.1754,5,-2.954,-3.109,0.155,-4.233
boll,20260406,001311,多利科技,2026-04-07,2026-04-13,30.39,31.76,30.4052,31.7441,5,4.404,4.237,0.167,-1.448
boll,20260406,603848,好太太,2026-04-07,2026-04-13,14.84,15.34,14.8474,15.3323,5,3.266,3.101,0.165,0.0
boll,20260406,603013,亚普股份,2026-04-07,2026-04-13,18.35,18.7,18.3592,18.6907,5,1.806,1.643,0.163,-1.526
boll,20260406,002301,齐心集团,2026-04-07,2026-04-13,6.75,6.83,6.7534,6.8266,5,1.084,0.922,0.162,0.0
boll,20260406,002073,软控股份,2026-04-07,2026-04-13,6.82,7.08,6.8234,7.0765,5,3.709,3.543,0.166,0.0
boll,20260406,002043,兔 宝 宝,2026-04-07,2026-04-13,14.0,13.97,14.007,13.963,5,-0.314,-0.473,0.159,-1.5
boll,20260408,603619,中曼石油,2026-04-09,2026-04-15,33.91,34.84,33.927,34.8226,5,2.64,2.476,0.164,0.0
boll,20260408,601225,陕西煤业,2026-04-09,2026-04-15,25.34,25.16,25.3527,25.1474,5,-0.81,-0.968,0.159,-1.302
boll,20260408,600985,淮北矿业,2026-04-09,2026-04-15,13.41,13.73,13.4167,13.7231,5,2.284,2.12,0.164,-0.969
boll,20260408,600188,兖矿能源,2026-04-09,2026-04-15,18.94,19.19,18.9495,19.1804,5,1.219,1.057,0.162,0.0
boll,20260408,601101,昊华能源,2026-04-09,2026-04-15,8.32,8.23,8.3242,8.2259,5,-1.181,-1.339,0.158,-1.082
boll,20260409,000598,兴蓉环境,2026-04-10,2026-04-16,6.65,6.66,6.6533,6.6567,5,0.05,-0.11,0.16,-1.053
boll,20260409,002003,伟星股份,2026-04-10,2026-04-16,9.68,9.95,9.6848,9.945,5,2.687,2.522,0.164,-0.723
boll,20260409,601200,上海环境,2026-04-10,2026-04-16,8.08,8.13,8.084,8.1259,5,0.518,0.357,0.161,-0.124
boll,20260409,600642,申能股份,2026-04-10,2026-04-16,8.86,9.2,8.8644,9.1954,5,3.734,3.568,0.166,-1.919
boll,20260409,002508,老板电器,2026-04-10,2026-04-16,20.23,20.12,20.2401,20.1099,5,-0.643,-0.802,0.159,-1.483
boll,20260409,600157,永泰能源,2026-04-10,2026-04-16,1.74,1.7,1.7409,1.6992,5,-2.397,-2.553,0.156,-2.299
boll,20260409,600177,雅戈尔,2026-04-10,2026-04-16,7.42,7.3,7.4237,7.2964,5,-1.716,-1.873,0.157,-3.504
boll,20260409,002043,兔 宝 宝,2026-04-10,2026-04-16,13.84,14.41,13.8469,14.4028,5,4.014,3.848,0.166,0.0
boll,20260410,001286,陕西能源,2026-04-13,2026-04-17,10.88,11.08,10.8854,11.0745,5,1.736,1.574,0.163,0.0
boll,20260413,600642,申能股份,2026-04-14,2026-04-20,8.71,9.17,8.7144,9.1654,5,5.176,5.008,0.168,0.0
boll,20260413,002003,伟星股份,2026-04-14,2026-04-20,9.66,10.08,9.6648,10.075,5,4.244,4.077,0.167,0.0
