股票代码,股票名称,最新价,建议买入价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600054,黄山旅游,12.67,11.66,7.73,3.51,504719954.0,3.7,7.23,13.29,1.0,1,消费,65.44
sh.601952,nan,9.9,9.22,3.97,2.19,554752077.0,3.52,7.1,10.75,1.0,0,,51.69
sh.600256,nan,5.55,5.15,4.46,5.29,1612623638.0,1.33,7.06,14.02,0.979,0,,42.41
sh.601928,nan,7.87,7.42,1.9,1.62,220812373.0,1.84,5.24,12.15,0.999,0,,41.96
sh.600508,nan,9.06,8.68,2.3,1.9,216253794.0,1.92,3.95,9.69,1.0,0,,40.68
sh.601898,nan,13.68,13.3,0.92,0.71,1154686714.0,2.03,4.75,9.97,0.991,0,,40.34
sh.600483,nan,20.86,20.22,2.31,1.8,288869087.0,1.8,4.47,6.04,1.0,0,,38.57
sh.600285,nan,20.86,20.22,2.31,1.8,288869087.0,1.8,4.47,6.04,1.0,0,,38.57
sh.601666,nan,8.52,8.26,2.0,1.9,427354039.0,1.55,4.12,9.15,0.997,0,,36.58
sh.600750,nan,23.96,22.42,1.37,1.33,215090834.0,1.34,6.06,7.29,1.0,0,,35.68
sh.601225,nan,21.34,21.14,0.9,0.82,1921670590.0,1.46,4.06,4.5,0.986,0,,31.19
sh.600761,nan,21.21,21.21,6.01,5.52,1161215096.0,1.59,1.02,4.45,0.925,0,,28.98
sh.600177,nan,23.97,23.37,0.88,0.9,281444580.0,0.92,0.44,2.39,0.981,0,,20.0
sh.600587,nan,15.51,15.51,2.13,2.29,203267606.0,0.82,-6.63,8.61,0.931,0,,17.74
