股票代码,股票名称,建议买入价
600223,福瑞达,7.14
600409,三友化工,5.68
601600,中国铝业,10.27
603848,好太太,18.32
600966,博汇纸业,5.67
601898,中煤能源,12.91
601225,陕西煤业,20.81
603238,诺邦股份,16.56
000983,山西焦煤,6.33
002322,理工能科,11.59
600900,长江电力,26.87
600754,锦江酒店,23.47
600315,上海家化,22.27
601857,中国石油,9.27
000915,华特达因,30.4
601598,中国外运,5.91
601965,中国汽研,16.05
600007,中国国贸,17.71
600060,海信视像,23.67
600256,广汇能源,4.8
001205,盛航股份,16.52
600894,广日股份,8.48
603579,荣泰健康,22.31
002301,齐心集团,7.01
002746,仙坛股份,5.69
601156,东航物流,15.47
002128,电投能源,24.48
