股票代码,股票名称,综合分
300185,通裕重工,75.67
002673,西部证券,75.67
301102,兆讯传媒,75.67
002221,东华能源,75.43
000415,渤海租赁,75.37
002716,湖南白银,75.33
001220,世盟股份,75.3
000055,方大集团,75.27
002276,万马股份,75.27
002616,长青集团,75.1
600169,ST太重,75.01
002500,山西证券,74.93
600250,南京商旅,74.83
000809,和展能源,74.81
603556,海兴电力,74.73
002712,思美传媒,74.73
002583,海能达,74.67
688599,天合光能,74.66
603708,家家悦,74.65
600807,济高发展,74.56
000949,新乡化纤,74.53
600166,福田汽车,74.37
300388,节能国祯,74.29
000755,山西高速,74.22
600628,新世界,74.08
300945,曼卡龙,74.06
002322,理工能科,74.02
600399,抚顺特钢,74.01
300579,数字认证,74.0
003006,百亚股份,73.96
600715,文投控股,73.92
603836,海程邦达,73.9
002369,卓翼科技,73.89
600513,联环药业,73.77
603518,锦泓集团,73.75
000919,金陵药业,73.74
301168,通灵股份,73.73
000909,*ST数源,73.71
600618,氯碱化工,73.67
600885,宏发股份,73.66
