股票代码,股票名称,综合分
605028,世茂能源,76.59
002926,华西证券,75.9
002024,ST易购,75.65
688032,禾迈股份,75.44
301030,*ST仕净,75.18
600535,天士力,75.15
002136,安 纳 达,75.07
601606,XD长城军,74.91
600023,浙能电力,74.84
603589,口子窖,74.29
688219,会通股份,74.24
002216,三全食品,74.22
002415,海康威视,74.13
603855,华荣股份,74.01
000900,现代投资,73.99
600970,中材国际,73.96
000777,中核科技,73.95
600808,马钢股份,73.66
600332,白云山,73.48
600029,南方航空,73.31
600167,联美控股,73.29
600380,健康元,73.22
601369,陕鼓动力,72.97
000682,东方电子,72.91
000557,西部创业,72.45
600633,浙数文化,72.32
000828,东莞控股,72.16
603359,*ST东珠,72.16
000928,中钢国际,72.13
000166,申万宏源,72.09
002884,凌霄泵业,71.91
301293,三博脑科,71.78
301109,军信股份,71.72
600873,梅花生物,71.55
600009,上海机场,71.45
000035,中国天楹,71.24
601908,京运通,71.05
601688,华泰证券,70.99
600361,创新新材,70.86
000566,海南海药,70.85
