股票代码,股票名称,综合分
301535,浙江华远,100.0
300911,亿田智能,100.0
600966,博汇纸业,100.0
603011,合锻智能,100.0
603123,翠微股份,100.0
000612,焦作万方,100.0
001376,百通能源,100.0
002442,龙星科技,100.0
300440,运达科技,100.0
002856,*ST美芝,100.0
603179,新泉股份,100.0
002165,红 宝 丽,99.76
688533,上声电子,99.61
600475,华光环能,99.2
002809,红墙股份,98.98
000830,鲁西化工,96.08
600727,鲁北化工,94.0
002440,闰土股份,93.73
600595,中孚实业,93.29
300721,怡达股份,92.5
301275,汉朔科技,92.37
300461,田中精机,91.76
600596,新安股份,91.66
300857,协创数据,91.29
603334,丰倍生物,91.28
002639,雪人集团,91.1
002532,天山铝业,91.03
002493,荣盛石化,90.94
002190,成飞集成,90.43
603095,越剑智能,90.01
300107,建新股份,89.68
002683,广东宏大,89.3
300322,硕贝德,89.2
002270,华明装备,88.75
601388,怡球资源,88.62
603181,皇马科技,88.62
600843,上工申贝,88.34
002734,利民股份,88.31
600577,精达股份,87.99
002342,巨力索具,87.97
