股票代码,股票名称,综合分
601098,中南传媒,67.45
600519,贵州茅台,67.28
600008,首创环保,67.06
002157,正邦科技,66.59
601866,中远海发,66.27
600125,铁龙物流,66.22
601728,中国电信,66.16
601800,中国交建,66.02
000400,许继电气,65.86
000767,晋控电力,65.84
002431,ST棕榈,65.84
000151,中成股份,65.76
002159,三特索道,65.49
000591,太阳能,65.45
600512,腾达建设,65.3
000876,新 希 望,65.26
000690,宝新能源,65.19
002312,川发龙蟒,65.01
600578,京能电力,64.99
600449,宁夏建材,64.78
600550,保变电气,64.72
601318,中国平安,64.7
002701,奥瑞金,64.7
600686,金龙汽车,64.69
600064,南京高科,64.61
301039,中集车辆,64.51
601888,中国中免,64.5
600496,精工钢构,64.47
300015,爱尔眼科,64.46
000401,金隅冀东,64.44
300311,ST任子行,64.42
688522,纳睿雷达,64.32
601179,中国西电,64.26
600859,王府井,64.2
600370,*ST三房,64.19
600428,中远海特,64.18
603156,养元饮品,64.07
600566,济川药业,64.02
600611,大众交通,63.77
001896,豫能控股,63.75
