股票代码,股票名称,综合分
002613,北玻股份,73.58
000592,平潭发展,73.49
002282,博深股份,73.17
301151,冠龙节能,73.15
000927,中国铁物,72.99
603006,联明股份,72.64
600017,日照港,72.49
300410,正业科技,72.48
300762,上海瀚讯,72.13
300426,华智数媒,72.11
603860,中公高科,72.08
002111,威海广泰,72.07
688638,誉辰智能,71.97
301517,陕西华达,71.92
601658,邮储银行,71.86
600796,钱江生化,71.85
002724,海洋王,71.8
002746,仙坛股份,71.7
603029,天鹅股份,71.64
603310,巍华新材,71.61
002149,西部材料,71.51
600303,曙光股份,71.46
301378,通达海,71.45
000911,*ST广糖,71.41
603073,彩蝶实业,71.38
002999,天禾股份,71.37
002004,华邦健康,71.34
600343,航天动力,71.29
002449,国星光电,71.29
603231,索宝蛋白,71.24
603045,福达合金,71.23
600996,贵广网络,71.2
300515,三德科技,71.02
601818,光大银行,71.0
002743,富煌钢构,70.8
600489,中金黄金,70.78
688718,唯赛勃,70.78
600831,广电网络,70.76
002963,豪尔赛,70.65
300511,雪榕生物,70.62
