股票代码,股票名称,综合分
000004,,59.05
002808,,59.05
002898,赛隆退,59.05
300232,洲明科技,59.05
600193,,59.05
603956,威派格,59.05
605081,,59.05
603376,大明电子,59.03
688321,微芯生物,59.03
600933,爱柯迪,59.02
301592,六九一二,59.02
603583,捷昌驱动,59.01
603309,维力医疗,59.01
300401,花园生物,59.01
603218,日月股份,59.01
002373,千方科技,58.99
302132,中航成飞,58.99
300487,蓝晓科技,58.98
002204,大连重工,58.97
002911,佛燃能源,58.97
301602,超研股份,58.96
002006,精工科技,58.96
301061,匠心家居,58.96
603197,保隆科技,58.96
000568,泸州老窖,58.94
002249,大洋电机,58.94
603235,天新药业,58.93
002075,沙钢股份,58.93
300772,运达股份,58.92
603556,海兴电力,58.92
600009,上海机场,58.91
001239,永达股份,58.91
001222,源飞宠物,58.9
301025,读客文化,58.9
301262,海看股份,58.9
688472,阿特斯,58.89
002985,北摩高科,58.89
601595,上海电影,58.89
600808,马钢股份,58.89
689009,九号公司,58.88
