股票代码,股票名称,综合分
600165,ST宁科,100.0
000691,亚太实业,100.0
002713,*ST东易,100.0
000430,张家界,100.0
002789,*ST建艺,96.98
600608,,95.62
600228,返利科技,75.74
603843,*ST正平,75.28
002200,交投生态,74.79
000668,荣丰控股,66.32
002424,ST百灵,64.24
002569,*ST步森,62.1
600265,*ST景谷,61.69
688184,ST帕瓦,60.8
300205,*ST天喻,59.9
002306,ST云网,58.59
301288,清研环境,57.98
002808,,57.45
603559,中通国脉,57.29
000608,阳光股份,57.12
000909,*ST数源,57.03
605199,ST葫芦娃,56.92
603261,立航科技,56.43
603389,亚振家居,56.37
603838,*ST四通,56.06
002289,宇顺电子,55.98
688069,德林海,55.81
002485,ST雪发,55.76
003004,声迅股份,55.66
002868,绿康生化,55.54
688370,丛麟科技,55.35
300716,*ST泉为,55.21
603021,*ST华鹏,55.12
603007,顺景科技,54.96
603580,艾艾精工,54.95
300268,佳沃食品,54.89
002592,ST八菱,54.67
000820,*ST节能,54.63
600365,ST通葡,54.46
002762,金发拉比,54.38
