股票代码,股票名称,建议买入价,动量分,20日收益%,60日收益%,MA20斜率%,距20日高点%
603221,爱丽家居,22.54,80.77,110.46,86.74,18.55,0.0
300795,米奥会展,16.44,61.5,86.61,51.52,21.34,0.0
300996,普联软件,18.62,49.38,70.98,46.38,6.91,0.0
300663,科蓝软件,10.62,32.28,58.04,8.81,4.76,-5.01
605179,一鸣食品,19.37,29.91,44.88,18.04,5.15,0.0
003001,中岩大地,19.24,27.84,40.13,7.85,14.78,-10.59
000676,智度股份,7.49,26.08,40.53,2.04,14.18,-4.22
002774,快意电梯,14.82,17.19,2.99,16.42,20.23,-16.03
603956,威派格,6.59,14.72,6.29,13.04,10.99,0.0
603682,锦和商管,9.6,3.96,7.02,0.42,3.42,0.0
