股票代码,股票名称,综合分
300010,ST豆神,100.0
300039,上海凯宝,100.0
300076,*ST宁视,100.0
300514,友讯达,100.0
600004,白云机场,100.0
300123,ST亚光,100.0
605577,龙版传媒,100.0
603277,银都股份,100.0
002223,鱼跃医疗,100.0
002540,亚太科技,100.0
000581,威孚高科,100.0
600620,天宸股份,100.0
600039,四川路桥,100.0
300068,ST南都,99.95
001338,永顺泰,99.85
300787,海能实业,99.65
002373,千方科技,99.54
002227,*ST特迅,97.62
600866,星湖科技,96.8
002322,理工能科,96.76
600782,新钢股份,95.58
600901,江苏金租,95.52
605333,沪光股份,95.1
002614,奥佳华,94.8
603159,上海亚虹,94.58
600598,北大荒,94.46
603639,海利尔,94.33
600287,苏豪时尚,94.0
600125,铁龙物流,93.74
603282,亚光股份,93.44
600273,嘉化能源,93.14
000915,华特达因,93.13
300479,神思电子,93.0
601956,东贝集团,92.75
002724,海洋王,92.69
603357,设计总院,92.67
600299,安迪苏,92.54
300901,中胤时尚,92.46
002224,三 力 士,92.46
603565,中谷物流,91.89
