股票代码,股票名称,综合分
600519,,87.52
300502,,83.45
600661,,80.81
688095,,74.23
002612,,73.82
001337,,73.7
002027,,73.44
600867,,73.1
688200,,73.06
002412,,72.6
603402,,72.47
002832,,72.34
600570,,71.69
603383,,71.06
300308,,70.87
301207,,70.79
688758,,70.77
300627,,69.15
600535,,68.45
300254,,68.16
600976,,66.79
688382,,66.46
688392,,66.2
688105,,66.14
002039,,65.98
600236,,65.85
000999,,65.77
300795,,65.46
301611,,65.21
600025,,65.07
688498,,64.71
002607,,64.62
300726,,64.6
603568,,64.26
000506,,63.54
603061,,63.51
600674,,62.49
688618,,62.44
300274,,62.41
688082,,62.33
