股票代码,股票名称,综合分
600900,长江电力,100.0
600015,华夏银行,93.12
600036,招商银行,93.12
000333,美的集团,84.99
600000,XD浦发银,84.99
600025,华能水电,84.99
600887,伊利股份,84.99
600926,杭州银行,84.99
601009,南京银行,84.99
601166,兴业银行,84.99
601169,北京银行,84.99
601229,上海银行,84.99
601328,交通银行,84.99
601398,工商银行,84.99
601658,邮储银行,84.99
601838,成都银行,84.99
603167,渤海轮渡,84.99
000001,平安银行,76.86
000429,粤高速Ａ,76.86
002142,宁波银行,76.86
600919,江苏银行,76.86
600941,中国移动,76.86
601077,渝农商行,76.86
601088,中国神华,76.86
601766,中国中车,76.86
601816,京沪高铁,76.86
601818,光大银行,76.86
601988,中国银行,76.86
000598,兴蓉环境,68.72
000895,双汇发展,68.72
002003,伟星股份,68.72
002352,顺丰控股,68.72
002675,东诚药业,68.72
002807,江阴银行,68.72
600020,中原高速,68.72
600028,中国石化,68.72
600333,长春燃气,68.72
600519,贵州茅台,68.72
600597,光明乳业,68.72
600674,川投能源,68.72
