股票代码,股票名称,综合分
002673,西部证券,100.0
601990,南京证券,100.0
000623,吉林敖东,100.0
000686,东北证券,100.0
000885,城发环境,100.0
002500,山西证券,100.0
600030,中信证券,100.0
600704,物产中大,100.0
601975,招商南油,100.0
603160,汇顶科技,100.0
603181,皇马科技,100.0
000423,东阿阿胶,93.77
000719,中原传媒,93.77
000750,国海证券,93.77
000783,长江证券,93.77
002011,盾安环境,93.77
002073,软控股份,93.77
002236,大华股份,93.77
002645,华宏科技,93.77
300127,银河磁体,93.77
300230,永利股份,93.77
600428,中远海特,93.77
600478,科力远,93.77
601375,中原证券,93.77
603290,斯达半导,93.77
000028,国药一致,86.65
000538,云南白药,86.65
000539,粤电力Ａ,86.65
000563,陕国投Ａ,86.65
000698,ST沈化,86.65
000728,国元证券,86.65
000828,东莞控股,86.65
000927,中国铁物,86.65
000970,中科三环,86.65
001213,中铁特货,86.65
001287,中电港,86.65
002010,传化智联,86.65
002034,旺能环境,86.65
002139,拓邦股份,86.65
002140,东华科技,86.65
