股票代码,股票名称,建议买入价,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
600886,国投电力,26.06,0.9393939393939394,0.8484848484848485,66,33,33,32,32
600012,皖通高速,17.71,0.8787878787878788,0.8484848484848485,66,33,33,41,24
600779,水井坊,28.35,0.9696969696969697,0.8181818181818182,66,33,33,35,31
601200,上海环境,28.35,0.9696969696969697,0.8181818181818182,66,33,33,35,31
600461,洪城环境,5.93,1.0,0.7575757575757576,66,33,33,30,32
603013,亚普股份,8.86,1.0,0.7575757575757576,66,33,33,32,29
002430,杭氧股份,11.42,0.9696969696969697,0.7575757575757576,66,33,33,29,37
601928,凤凰传媒,9.45,0.9696969696969697,0.7575757575757576,66,33,33,32,34
600535,天士力,15.68,0.9393939393939394,0.7575757575757576,66,33,33,32,32
600315,上海家化,29.84,0.875,0.75,64,32,32,31,32
000895,双汇发展,24.67,1.0,0.7272727272727273,66,33,33,30,34
000921,海信家电,8.1,1.0,0.7272727272727273,66,33,33,29,34
600872,中炬高新,14.72,1.0,0.7272727272727273,66,33,33,33,28
601098,中南传媒,10.13,1.0,0.7272727272727273,66,33,33,32,32
000089,深圳机场,6.5,0.9696969696969697,0.7272727272727273,66,33,33,28,33
600693,东百集团,15.92,0.9393939393939394,0.7272727272727273,66,33,33,35,29
600521,华海药业,19.82,0.9393939393939394,0.7272727272727273,66,33,33,31,35
001289,龙源电力,9.65,0.8787878787878788,0.7272727272727273,66,33,33,35,28
600761,安徽合力,16.8,0.8787878787878788,0.7272727272727273,66,33,33,35,31
