股票代码,股票名称,综合分
600661,,53.88
300710,,53.87
688618,,53.85
603725,,53.85
300056,,53.85
603817,,53.85
603390,,53.83
603232,,53.82
688588,,53.82
300907,,53.82
603519,,53.81
300105,,53.81
600505,,53.81
603187,,53.8
603386,,53.8
603165,,53.8
300795,,53.79
300388,,53.78
600088,,53.78
301348,,53.77
301282,,53.77
300590,,53.76
603353,,53.76
600819,,53.75
300825,,53.73
688620,,53.72
688309,,53.72
603383,,53.71
301379,,53.71
688598,,53.7
300137,,53.69
300566,,53.69
603221,,53.69
603402,,53.68
300164,,53.68
600117,,53.65
002284,,53.65
301176,,53.6
605319,,53.58
600729,,53.58
