股票代码,股票名称,综合分
603167,渤海轮渡,100.0
000915,华特达因,100.0
001286,陕西能源,100.0
002867,周大生,100.0
002048,宁波华翔,100.0
600285,羚锐制药,100.0
002196,方正电机,98.74
000869,张  裕Ａ,98.59
600699,均胜电子,98.41
603279,景津装备,97.12
688093,世华科技,95.72
688218,江苏北人,95.25
301050,雷电微力,95.23
603662,XD柯力传,95.04
688636,智明达,94.07
688255,凯尔达,93.7
000729,燕京啤酒,93.0
000513,丽珠集团,92.65
301199,迈赫股份,91.45
000423,东阿阿胶,91.41
300681,英搏尔,91.34
301112,信邦智能,91.0
300452,山河药辅,90.68
300580,贝斯特,90.01
601801,皖新传媒,89.97
002472,双环传动,89.88
000559,万向钱潮,89.87
603698,航天工程,89.86
600894,广日股份,89.23
002006,精工科技,89.21
600750,华润江中,89.06
688717,艾罗能源,88.87
000404,长虹华意,88.73
601689,拓普集团,88.45
301325,曼恩斯特,88.43
000509,华塑控股,88.38
603131,上海沪工,88.17
301517,陕西华达,87.88
002342,巨力索具,87.83
002404,嘉欣丝绸,87.82
