股票代码,股票名称,综合分
600269,,66.26
603187,,65.82
002284,,65.17
600015,,64.86
601169,,64.34
601577,,64.21
000001,,63.59
603390,,63.17
601187,,62.77
601166,,62.76
601838,,62.31
601939,,62.05
600282,,61.22
600117,,60.71
600871,,60.71
600162,,60.42
600827,,60.36
600226,,59.81
300388,,59.73
601098,,59.68
601678,,59.61
600409,,59.53
300105,,59.27
300056,,59.17
688660,,58.99
600867,,58.95
603817,,58.88
600110,,58.88
688588,,58.77
300164,,58.49
300825,,58.49
600505,,58.38
600088,,58.27
600761,,58.21
300137,,58.18
603816,,58.06
603386,,58.04
600729,,58.01
600096,,57.96
603118,,57.69
