股票代码,股票名称,综合分
000004,,82.21
002808,,82.21
002898,赛隆退,82.21
601658,邮储银行,74.33
601916,浙商银行,73.96
601818,光大银行,73.83
600900,长江电力,73.78
600036,招商银行,73.62
603167,渤海轮渡,73.5
601990,南京证券,73.49
601668,XD中国建,73.3
601158,重庆水务,73.21
001213,中铁特货,73.15
600639,浦东金桥,73.11
601169,北京银行,73.11
600028,中国石化,73.1
601766,中国中车,72.88
600305,恒顺醋业,72.81
001227,兰州银行,72.72
600479,千金药业,72.5
600004,白云机场,72.48
002958,青农商行,72.47
603235,天新药业,72.45
000828,东莞控股,72.41
603323,苏农银行,72.38
600741,华域汽车,72.31
600548,深高速,72.22
002907,华森制药,72.14
600079,ST人福,72.07
600332,白云山,72.06
601107,四川成渝,72.02
601607,上海医药,72.02
601328,交通银行,71.97
002675,东诚药业,71.88
601878,浙商证券,71.65
600210,紫江企业,71.65
000088,盐 田 港,71.54
600919,江苏银行,71.44
601816,京沪高铁,71.43
601128,常熟银行,71.38
