序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688765,N禾元-U,91.1,213.49,62.04,343229.0,2781753187.0,61.91,91.32,73.33,88.0,29.06,,83.76,-201.42,11.13,32568250000.0,3733166220.0,0.0,1.01,213.49,213.49
2,688783,N奕材-U,25.75,198.72,17.13,1208650.0,3245796569.0,172.74,39.78,24.89,39.78,8.62,,73.42,-139.79,8.26,103973350000.0,4238902840.0,0.08,0.39,198.72,198.72
3,920020,N泰凯英,21.64,188.53,14.14,368789.0,775166098.19,65.07,23.88,19.0,19.05,7.5,,92.6,27.7,4.31,4787850000.0,861813000.0,0.19,0.79,188.53,188.53
4,688759,N必贝特-U,31.01,74.41,13.23,340343.0,1107252840.0,104.67,48.91,30.3,48.9,17.78,,73.25,-97.39,8.18,13955636734.0,1440786031.0,0.42,0.52,74.41,74.41
5,920748,路桥信息,59.77,29.99,13.79,76722.0,414577345.02,32.12,59.77,45.0,45.5,45.98,1.93,12.31,-92.77,17.86,4586749800.0,3726514558.0,0.0,0.0,-3.11,207.78
6,300128,锦富技术,8.68,20.06,1.45,3590922.0,2873481570.01,21.72,8.68,7.11,7.38,7.23,3.16,27.67,-51.3,17.05,11276321776.0,11264183881.0,0.0,0.0,59.85,68.54
7,300358,楚天科技,11.32,20.04,1.89,842837.0,924311364.28,16.01,11.32,9.81,9.81,9.43,4.04,14.63,59.34,1.54,6682255124.0,6523341761.0,0.0,0.0,31.78,65.01
8,300589,江龙船艇,15.07,19.98,2.51,852343.0,1241793389.74,20.7,15.07,12.47,12.49,12.56,12.25,36.8,-115.82,7.24,5691456700.0,3490316194.0,0.0,0.0,1.96,21.14
9,300300,海峡创新,9.19,19.97,1.53,1356012.0,1197742321.74,13.19,9.19,8.18,8.51,7.66,0.98,20.34,-266.63,43.2,6128324500.0,6127934384.0,0.0,0.0,81.62,219.1
10,300163,先锋新材,4.99,19.95,0.83,2056347.0,952807950.94,21.15,4.99,4.11,4.17,4.16,4.37,45.31,18.29,4.03,2365260000.0,2264411885.0,0.0,0.0,47.2,113.25
11,301357,北方长龙,168.3,16.46,23.79,139102.0,2201863609.25,19.14,172.66,145.0,146.2,144.51,1.93,58.45,1064.51,14.08,16022160000.0,4005540000.0,0.02,0.78,106.38,406.32
12,688146,中船特气,45.0,15.71,6.11,114919.0,470097088.0,18.44,45.38,38.21,38.7,38.89,2.48,7.93,72.78,4.2,23823529425.0,6523687890.0,0.9,3.07,48.37,55.87
13,300206,理邦仪器,13.97,15.45,1.87,521625.0,717765257.38,11.82,14.33,12.9,12.9,12.1,10.29,15.42,23.67,3.78,8097896944.0,4727162523.0,-0.07,-0.07,6.72,27.35
14,301205,联特科技,112.6,15.12,14.79,197912.0,2167137148.17,14.76,114.44,100.0,102.01,97.81,3.07,29.12,133.95,9.21,14609174400.0,7652102328.0,0.0,0.37,23.85,49.16
15,300619,金银河,44.92,11.74,4.72,311779.0,1409388607.37,15.35,47.68,41.51,41.51,40.2,2.81,21.43,496.05,4.95,7816064637.0,6534244991.0,-0.18,-0.18,61.06,142.81
16,920706,铁拓机械,28.37,11.69,2.97,146505.0,403592857.11,19.88,29.9,24.85,25.16,25.4,1.28,34.6,35.88,4.54,2621536801.0,1201380702.0,-0.04,0.92,-12.14,134.85
17,688720,艾森股份,58.21,11.32,5.92,142263.0,793787291.0,15.59,60.17,52.02,52.02,52.29,3.52,25.73,111.6,5.08,5130241372.0,3218003406.0,0.66,0.73,30.6,47.14
18,920445,龙竹科技,14.74,11.25,1.49,286108.0,428370003.85,20.3,16.3,13.61,13.7,13.25,4.19,27.18,71.75,6.86,2165748569.0,1551573539.0,-0.07,0.96,42.55,101.37
19,920223,荣亿精密,19.35,11.14,1.94,105990.0,195747477.38,12.29,19.5,17.36,17.56,17.41,2.62,12.99,-217.83,12.12,3043464750.0,1578645563.0,0.16,-0.72,74.32,101.56
20,300767,震安科技,24.7,10.66,2.38,372729.0,909451859.44,16.31,25.96,22.32,22.56,22.32,3.28,15.54,-229.44,4.22,6824388392.0,5925332326.0,0.0,0.08,82.56,173.84
21,300461,田中精机,21.39,10.66,2.06,147845.0,307981588.6,15.73,22.2,19.16,19.36,19.33,4.06,12.97,533.68,6.32,3359442642.0,2438647483.0,-0.05,0.38,2.74,14.63
22,300875,捷强装备,50.32,10.64,4.84,151323.0,732612664.29,16.47,51.84,44.35,45.2,45.48,2.32,17.24,-162.47,5.32,5023684670.0,4417676784.0,-0.02,0.08,18.26,78.69
23,301005,超捷股份,53.65,10.57,5.13,190493.0,1012722282.21,17.13,56.51,48.2,48.53,48.52,1.85,14.39,190.04,9.37,7203438016.0,7101746319.0,-0.09,0.6,27.46,83.73
24,301016,雷尔伟,22.2,10.39,2.09,118766.0,259028025.73,16.71,23.26,19.9,20.14,20.11,3.27,5.73,81.29,4.85,4848480000.0,4598733508.0,0.05,0.91,26.78,52.68
25,002217,合力泰,3.36,10.16,0.31,3659093.0,1207327292.09,11.15,3.36,3.02,3.03,3.05,3.19,6.44,1058.27,13.43,25130780398.0,19085933634.0,0.0,0.0,34.4,40.59
