title,content,source,pub_time
,财联社4月17日电，多伦多股票指数涨势延续，涨幅扩大至1%。,cls,22:46:06
,财联社4月17日电，特朗普就霍尔木兹海峡问题发表评论后，欧洲天然气价格一度下跌10%。,cls,22:46:42
,财联社4月17日电，美国5年期国债收益率日内下跌10个基点。,cls,22:52:26
特朗普称伊朗不会再封锁霍尔木兹海峡 正在清雷,【特朗普称伊朗不会再封锁霍尔木兹海峡 正在清雷】财联社4月17日电，美国总统特朗普17日在社交媒体上称，伊朗在美国协助下，“已清除或正清除所有水雷”。特朗普还称，伊朗已同意不再封锁霍尔木兹海峡，“它将不再被用作对抗世界的武器！” (新华社),cls,22:53:04
,财联社4月17日电，伊朗宣布在停火期间开放霍尔木兹海峡之后，基准欧洲柴油期货秋季价格下跌15%至每吨997.75美元。,cls,22:54:16
,财联社4月17日电，英国石油股票延续跌势，最新跌幅达8.7%，正朝着自2020年3月以来的最大单日跌幅迈进。,cls,22:55:40
,"财联社4月17日电，ICE可可期货下跌3%，至每公吨3,349美元。",cls,22:56:23
马克龙：伊朗重新开放霍尔木兹海峡方向正确,【马克龙：伊朗重新开放霍尔木兹海峡方向正确】财联社4月17日电，法国总统马克龙17日说，伊朗宣布重新开放霍尔木兹海峡方向正确。马克龙和英国首相斯塔默当天在巴黎主持召开多国会议，聚焦通过外交途径结束冲突、重新开放霍尔木兹海峡、局势稳定后为国际航运提供安全保障等议题。 (新华社),cls,22:59:31
国内期市夜盘收盘 燃油跌超7%,【国内期市夜盘收盘 燃油跌超7%】财联社4月17日电，国内期市夜盘收盘多数下跌。燃油跌超7%，低硫燃料油跌超6%，沥青、甲醇、聚丙烯、丙烯、乙二醇跌超3%；玻璃涨超1%。,cls,23:07:29
停火后以军无人机空袭黎南致死1人,【停火后以军无人机空袭黎南致死1人】财联社4月17日电，据医护人员及黎巴嫩真主党下属“灯塔”电视台报道，今天（4月17日），在黎以临时停火生效后，以军无人机在黎巴嫩南部空袭，打死至少一人。对此目前以军方面暂无说法。 (CCTV国际时讯),cls,23:09:40
伊朗或因美继续封锁再关闭霍尔木兹,【伊朗或因美继续封锁再关闭霍尔木兹】财联社4月17日电，据伊朗法尔斯通讯报道，一名伊朗官员表示，如果美军对伊朗的海上封锁继续下去，伊朗将把此举视为对停火协议的破坏，并会再次关闭霍尔木兹海峡。 (CCTV国际时讯),cls,23:11:49
