策略,信号日期,股票代码,股票名称,买入日期,卖出日期,买入价(次日开盘),卖出价(持有N日收盘),成交买入价(含滑点),成交卖出价(含滑点),持有交易日,毛收益率(%),净收益率(%),交易成本冲击(%),区间最大回撤(%)
theme,20260401,600741,华域汽车,2026-04-02,2026-04-03,19.82,19.85,19.8299,19.8401,2,0.051,-0.109,0.16,0.0
theme,20260407,603042,华脉科技,2026-04-08,2026-04-09,22.59,23.34,22.6013,23.3283,2,3.217,3.052,0.165,-1.195
theme,20260407,601208,东材科技,2026-04-08,2026-04-09,33.55,33.54,33.5668,33.5232,2,-0.13,-0.289,0.16,-0.626
theme,20260407,603227,雪峰科技,2026-04-08,2026-04-09,9.97,10.15,9.975,10.1449,2,1.704,1.541,0.163,0.0
theme,20260408,603042,华脉科技,2026-04-09,2026-04-10,21.99,21.99,22.001,21.979,2,-0.1,-0.26,0.16,0.0
theme,20260408,600602,云赛智联,2026-04-09,2026-04-10,24.33,24.08,24.3422,24.068,2,-1.126,-1.285,0.158,-1.028
theme,20260408,600713,南京医药,2026-04-09,2026-04-10,5.6,6.05,5.6028,6.047,2,7.928,7.755,0.173,-1.786
theme,20260408,603002,宏昌电子,2026-04-09,2026-04-10,10.81,10.94,10.8154,10.9345,2,1.101,0.94,0.162,0.0
theme,20260408,603039,泛微网络,2026-04-09,2026-04-10,46.5,44.94,46.5232,44.9175,2,-3.451,-3.606,0.154,-3.355
theme,20260408,600056,中国医药,2026-04-09,2026-04-10,10.89,10.97,10.8954,10.9645,2,0.634,0.473,0.161,-0.643
theme,20260408,603275,众辰科技,2026-04-09,2026-04-10,45.1,45.49,45.1225,45.4673,2,0.764,0.603,0.161,0.0
theme,20260408,600594,益佰制药,2026-04-09,2026-04-10,4.61,4.81,4.6123,4.8076,2,4.234,4.067,0.167,0.0
theme,20260408,603203,快克智能,2026-04-09,2026-04-10,41.88,43.53,41.9009,43.5082,2,3.836,3.67,0.166,0.0
theme,20260408,603248,锡华科技,2026-04-09,2026-04-10,30.02,29.98,30.035,29.965,2,-0.233,-0.393,0.16,-0.133
theme,20260409,603042,华脉科技,2026-04-10,2026-04-13,22.68,22.19,22.6913,22.1789,2,-2.258,-2.415,0.156,-3.042
theme,20260409,600721,百花医药,2026-04-10,2026-04-13,9.79,8.98,9.7949,8.9755,2,-8.365,-8.512,0.147,-8.274
theme,20260409,603002,宏昌电子,2026-04-10,2026-04-13,11.12,11.69,11.1256,11.6842,2,5.021,4.853,0.168,-1.619
theme,20260409,600345,长江通信,2026-04-10,2026-04-13,53.28,55.0,53.3066,54.9725,2,3.125,2.96,0.165,0.0
theme,20260409,600594,益佰制药,2026-04-10,2026-04-13,4.87,4.42,4.8724,4.4178,2,-9.331,-9.476,0.145,-9.24
theme,20260409,603203,快克智能,2026-04-10,2026-04-13,44.2,44.25,44.2221,44.2279,2,0.013,-0.147,0.16,-1.516
theme,20260409,603175,超颖电子,2026-04-10,2026-04-13,88.74,86.05,88.7844,86.007,2,-3.128,-3.283,0.155,-3.031
theme,20260409,600522,中天科技,2026-04-10,2026-04-13,31.38,28.52,31.3957,28.5057,2,-9.205,-9.35,0.145,-9.114
theme,20260409,601208,东材科技,2026-04-10,2026-04-13,33.7,34.79,33.7169,34.7726,2,3.131,2.966,0.165,-0.445
theme,20260409,600699,均胜电子,2026-04-10,2026-04-13,26.73,25.86,26.7434,25.8471,2,-3.351,-3.506,0.155,-3.255
