股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
002557,洽洽食品,1.0,0.8148148148148148,64,37,27,28,32
601006,大秦铁路,1.0,0.7407407407407407,64,37,27,34,27
601567,三星电气,0.972972972972973,0.7407407407407407,64,37,27,35,28
000828,东莞控股,0.972972972972973,0.7407407407407407,64,37,27,32,29
002003,伟星股份,1.0,0.7037037037037037,64,37,27,35,27
600535,天士力,1.0,0.7037037037037037,64,37,27,30,32
601985,中国核电,1.0,0.7037037037037037,64,37,27,29,34
600642,申能股份,0.9459459459459459,0.7037037037037037,64,37,27,35,25
601857,中国石油,0.8378378378378378,0.7037037037037037,64,37,27,34,30
600188,兖矿能源,0.8378378378378378,0.7037037037037037,64,37,27,34,29
