股票代码,股票名称,上涨满足率,抗跌满足率,对齐交易日,指数上涨日数(对齐后),指数下跌日数(对齐后),个股上涨日数(对齐后),个股下跌日数(对齐后)
002507,涪陵榨菜,1.0,0.8148148148148148,65,38,27,29,32
002706,良信股份,1.0,0.7407407407407407,65,38,27,35,27
002461,珠江啤酒,0.9736842105263158,0.7407407407407407,65,38,27,36,28
000828,东莞控股,0.9736842105263158,0.7407407407407407,65,38,27,33,29
002530,金财互联,0.868421052631579,0.7407407407407407,65,38,27,32,33
002003,伟星股份,1.0,0.7037037037037037,65,38,27,35,27
600535,天士力,1.0,0.7037037037037037,65,38,27,31,32
002317,众生药业,1.0,0.7037037037037037,65,38,27,29,35
002782,可立克,0.9473684210526315,0.7037037037037037,65,38,27,36,25
600422,昆药集团,0.8421052631578947,0.7037037037037037,65,38,27,35,30
