日期,板块,热度分,置信度,股票代码,股票名称,匹配线索
20260518,通信,10.4,中,002115,三维通信,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,002544,普天科技,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,002929,润建股份,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300025,华星创业,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300050,世纪鼎利,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300211,*ST亿通,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300310,宜通世纪,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300513,恒实科技,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300560,中富通,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300597,吉大通信,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,600289,ST信通,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,603220,中贝通信,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,603322,超讯通信,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,603559,ST通脉,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,603206,嘉环科技,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,301139,*ST元道,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,300603,立昂技术,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,000889,中嘉博创,SW:852213|SW:801223|SW:801770
20260518,通信,10.4,中,002467,二六三,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300081,ST恒信,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300292,吴通控股,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300571,平治信息,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300578,会畅科技,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300921,南凌科技,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300959,线上线下,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,000839,国安股份,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,002148,北纬科技,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,301380,挖金客,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,301382,蜂助手,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,301428,世纪恒通,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300383,光环新网,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300442,润泽科技,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,300738,奥飞数据,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,603881,数据港,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,002123,梦网科技,SW:852214|SW:801223|SW:801770
20260518,通信,10.4,中,002194,武汉凡谷,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002281,光迅科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002296,辉煌科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002396,星网锐捷,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002583,海能达,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002792,通宇通讯,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002897,意华股份,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002902,铭普光磁,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300134,大富科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300308,中际旭创,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300394,天孚通信,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300502,新易盛,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300548,长芯博创,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300565,科信技术,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300570,太辰光,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300620,光库科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300698,万马科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300710,万隆光电,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,600498,烽火通信,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,603421,鼎信通讯,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,688182,灿勤科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,688313,仕佳光子,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,688618,三旺通信,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,688668,鼎通科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,002796,世嘉科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,688205,德科立,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,301205,联特科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,688387,信科移动,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,301165,锐捷网络,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,301419,阿莱德,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,301314,科瑞思,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,301307,美利信,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,301577,美信科技,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,300098,高新兴,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,000063,中兴通讯,SW:851024|SW:801102|SW:801770
20260518,通信,10.4,中,000586,汇源通信,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,002491,通鼎互联,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,300563,神宇股份,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,300913,兆龙互连,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,600105,永鼎股份,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,600487,亨通光电,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,600522,中天科技,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,601869,长飞光纤,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,603042,华脉科技,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,688143,长盈通,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,000070,特发信息,SW:851025|SW:801102|SW:801770
20260518,通信,10.4,中,002104,恒宝股份,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,002313,日海智能,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,003031,中瓷电子,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,003040,楚天龙,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300205,*ST天喻,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300504,天邑股份,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300555,ST路通,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300590,移为通信,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300615,欣天科技,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300627,华测导航,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300628,亿联网络,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300638,广和通,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300689,澄天伟业,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,600734,*ST实达,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,600775,南京熊猫,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,603083,剑桥科技,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,603118,共进股份,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,603236,移远通信,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,603803,瑞斯康达,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,688027,国盾量子,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,688100,威胜信息,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,688159,有方科技,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,301191,菲菱科思,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,600198,大唐电信,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,688592,司南导航,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,002881,美格智能,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,002017,东信和平,SW:851026|SW:801102|SW:801770
20260518,通信,10.4,中,300213,佳讯飞鸿,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,300353,东土科技,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,300414,中光防雷,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,300711,广哈通信,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,600345,长江通信,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,600776,东方通信,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,688080,映翰通,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,688418,震有科技,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,688283,坤恒顺维,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,301202,朗威股份,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,300183,东软载波,SW:851027|SW:801102|SW:801770
20260518,通信,10.4,中,600050,中国联通,SW:801223|SW:801770
20260518,通信,10.4,中,601728,中国电信,SW:801223|SW:801770
20260518,通信,10.4,中,600941,中国移动,SW:801223|SW:801770
