股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600855,航天长峰,20.67,7.36,6.79,713051367.0,1.64,11.01,20.24,0.956,2,"低空经济,军工",69.34
sh.600184,光电股份,29.08,14.86,8.73,2480868566.0,2.56,32.97,48.22,1.0,1,军工,68.68
sh.603936,博敏电子,20.22,15.22,13.03,1959295722.0,1.82,30.45,44.84,1.0,1,军工,68.2
sh.600151,航天机电,26.02,5.28,6.75,4541660684.0,0.98,8.55,20.69,0.972,2,"低空经济,军工",63.79
sh.600380,健康元,19.58,10.33,5.81,1666073540.0,2.5,13.64,32.03,1.0,0,,59.25
sh.601698,中国卫通,18.92,6.11,6.12,1105139998.0,1.35,13.84,21.67,1.0,1,军工,55.32
sh.600776,东方通信,18.92,6.11,6.12,1105139998.0,1.35,13.84,21.67,1.0,1,算力,55.32
sh.603267,鸿远电子,19.98,6.59,8.62,590208180.0,0.78,5.88,26.62,0.972,1,军工,53.17
sh.603002,宏昌电子,15.1,4.96,6.08,842288863.0,0.67,9.26,36.04,0.986,1,军工,53.03
sh.600419,天润乳业,28.94,6.98,4.59,10129489142.0,2.29,7.9,8.27,1.0,0,,53.0
sh.600764,中国海防,14.74,3.1,1.74,771403211.0,2.93,4.54,2.01,0.978,1,军工,52.05
sh.600012,皖通高速,19.02,3.54,2.52,276400861.0,2.3,13.89,25.3,1.0,0,,51.7
sh.600501,航天晨光,24.42,2.27,2.79,239166465.0,1.03,3.43,8.44,0.98,2,"低空经济,军工",49.51
sh.600535,天士力,17.52,1.86,1.41,132555848.0,2.27,8.82,14.96,0.976,0,,48.31
sh.601958,金钼股份,22.65,2.53,1.6,1807807167.0,2.34,15.68,17.66,1.0,0,,47.91
sh.603162,海通发展,18.42,7.72,10.44,399980761.0,1.02,23.87,25.82,1.0,0,,47.77
sh.600761,安徽合力,20.72,4.51,3.59,833363671.0,1.95,14.92,19.01,1.0,0,,47.2
sh.600203,福日电子,9.44,3.41,3.56,201390996.0,1.05,6.31,6.67,0.99,1,军工,44.75
sh.600971,恒源煤电,10.21,4.06,4.25,2071097635.0,1.38,13.7,24.51,1.0,0,,44.21
sh.600271,航天信息,8.63,1.07,1.21,171066541.0,0.96,2.62,3.23,0.982,2,"低空经济,军工",43.93
sh.600027,华电国际,5.33,2.04,1.53,1002068797.0,1.52,6.81,16.38,1.0,0,,42.47
sh.603823,百合花,20.58,2.09,1.78,7567303672.0,1.59,10.53,7.64,1.0,0,,41.43
sh.603890,春秋电子,24.23,2.25,2.16,172880911.0,1.11,6.13,1.51,0.991,1,军工,41.38
sh.600658,电子城,5.22,2.23,2.35,130264259.0,1.25,2.35,13.23,0.974,1,军工,41.22
sh.600372,中航机载,13.47,1.23,1.14,797840593.0,1.39,3.62,4.26,0.982,1,军工,39.88
sh.600642,申能股份,9.67,0.89,0.71,421594752.0,1.53,6.73,9.27,1.0,0,,38.43
sh.603138,海量数据,19.58,4.75,6.25,270024750.0,0.95,7.52,0.15,0.911,1,算力,37.89
sh.600521,华海药业,17.09,2.9,2.63,747113555.0,1.64,4.91,8.44,0.979,0,,37.41
sh.601101,昊华能源,12.97,4.12,6.0,317861111.0,0.77,6.22,15.8,0.978,0,,36.97
sh.600562,国睿科技,28.18,1.12,1.14,389448714.0,1.18,2.62,11.96,0.946,1,军工,35.97
