股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600483,福能股份,9.92,7.7,5.62,814958452.0,2.17,7.48,14.15,1.0,2,"电力,综合",74.9
sh.603386,骏亚科技,16.53,12.05,8.26,651886001.0,2.43,7.76,18.41,0.977,1,电子,71.34
sh.600406,国电南瑞,16.9,8.39,4.38,205197913.0,3.07,13.73,27.07,1.0,1,电力,67.18
sh.600203,福日电子,6.64,28.48,24.92,1396167627.0,1.68,2.47,43.41,1.0,1,电子,64.89
sh.603390,通达电气,14.36,12.99,6.5,671016988.0,2.29,2.28,20.98,0.97,1,电子,61.97
sh.603679,华体科技,17.68,6.98,8.81,219282338.0,1.2,9.0,28.96,0.985,1,电子,61.64
sh.600552,凯盛科技,18.01,10.03,10.77,1689697486.0,1.18,6.44,33.7,0.984,1,电子,61.59
sh.600509,天富能源,9.59,12.64,10.05,1695063750.0,2.06,4.47,20.78,0.928,1,电力,61.51
sh.603690,至纯科技,28.38,9.42,9.59,1015333574.0,1.48,7.09,11.69,0.991,1,电子,60.17
sh.603607,京华激光,24.63,6.53,2.87,281946670.0,3.36,4.23,10.25,1.0,1,综合,59.43
sh.600578,京能电力,7.71,3.6,3.23,1837976710.0,2.48,48.84,47.7,1.0,1,电力,59.23
sh.603933,睿能科技,21.12,7.18,10.24,1271079080.0,1.06,12.94,39.31,1.0,1,电子,57.99
sh.603989,艾华集团,22.0,4.71,2.87,402492618.0,1.84,3.19,12.47,1.0,1,电子,51.82
sh.600149,廊坊发展,6.48,8.18,8.0,200591505.0,1.15,1.25,14.49,0.985,1,电力,48.09
sh.600707,彩虹股份,10.87,4.9,5.8,1879660106.0,1.02,18.8,51.18,1.0,1,电子,47.63
sh.600546,山煤国际,9.26,3.24,1.98,761795157.0,1.57,6.81,25.47,1.0,0,,47.27
sh.603293,埃泰克,19.35,3.5,1.9,142970676.0,1.51,4.65,6.2,1.0,1,电子,46.46
sh.605218,伟时电子,19.35,3.5,1.9,142970676.0,1.51,4.65,6.2,1.0,1,电子,46.46
sh.603022,新通联,10.85,1.39,1.36,413824713.0,1.22,6.48,9.05,1.0,1,综合,45.74
sh.603686,福龙马,11.21,4.8,4.44,1258432940.0,1.4,4.86,16.05,0.931,1,综合,45.63
sh.603298,杭叉集团,19.86,3.57,1.93,238051745.0,2.95,5.25,1.33,1.0,0,,45.21
sh.600310,广西能源,5.11,5.46,10.27,407383618.0,0.52,-4.49,15.35,0.919,2,"电力,综合",45.06
sh.600577,精达股份,14.15,3.06,3.47,931594558.0,1.01,3.13,15.17,1.0,1,电力,44.57
sh.603162,海通发展,19.26,6.52,7.04,352416072.0,0.81,5.53,35.44,1.0,0,,44.23
sh.603936,博敏电子,20.88,9.07,12.12,1205798704.0,0.82,3.26,46.63,0.939,1,电子,44.2
sh.600101,明星电力,10.06,3.39,6.26,185711883.0,0.61,-1.18,8.87,0.964,2,"电力,综合",43.44
sh.605069,正和生态,16.12,3.62,4.36,123400979.0,0.77,1.51,29.79,0.979,1,综合,43.05
sh.600969,郴电国际,10.73,4.56,4.01,182703390.0,0.9,-4.62,7.62,0.954,2,"电力,综合",42.98
sh.603693,江苏新能,16.43,2.27,3.31,321339515.0,0.8,4.32,17.53,0.978,1,电力,42.28
sh.600703,三安光电,16.18,5.68,7.69,4601678556.0,0.85,0.87,33.28,0.927,1,电子,41.87
