date,open,high,low,close,volume,amount
2026-03-02,55.81,57.01,54.2,55.3,5349285,296388100.27
2026-03-03,55.47,55.75,49.88,49.95,6104693,318949059.25
2026-03-04,48.58,51.6,48.35,51.0,3563883,180189770.31
2026-03-05,52.68,52.68,51.02,51.26,2715741,141139389.38
2026-03-06,51.06,51.83,51.06,51.24,2017866,103734269.67
2026-03-09,49.81,50.55,48.81,50.22,2917322,144433908.54
2026-03-10,51.24,52.42,51.17,52.39,3093550,160365523.48
2026-03-11,52.39,52.99,51.39,51.42,2343309,122150632.15
2026-03-12,50.99,51.68,50.63,50.94,2367454,120837215.88
2026-03-13,50.28,52.59,50.28,50.98,3126539,161269195.16
2026-03-16,50.88,52.8,50.0,52.5,3280054,169586273.74
2026-03-17,52.5,53.29,51.73,52.03,3147693,164845383.73
2026-03-18,52.01,54.15,52.01,53.8,4708461,251459561.02
2026-03-19,52.72,53.33,51.46,51.69,3141986,164659142.92
2026-03-20,52.1,52.66,49.4,49.51,3159244,161557239.88
2026-03-23,47.3,48.63,45.64,46.06,3354055,158228994.77
2026-03-24,46.89,48.44,45.85,47.37,2474082,115580098.03
2026-03-25,48.0,49.54,47.79,48.61,2907522,141485604.14
2026-03-26,48.61,48.61,46.4,46.65,2690566,126847411.4
2026-03-27,45.88,48.28,45.78,47.97,2606684,123871088.65
2026-03-30,46.99,48.38,46.83,47.91,1530948,72779541.91
2026-03-31,47.51,47.78,46.25,46.41,2145244,100731501.95
2026-04-01,47.39,48.1,47.38,47.68,1835450,87491328.03
2026-04-02,47.6,47.6,45.41,45.68,2461130,113869735.53
2026-04-03,46.0,47.19,45.77,46.32,2455203,114352670.25
2026-04-07,46.88,47.52,46.2,46.34,2031096,95037066.97
2026-04-08,47.8,49.64,47.5,49.62,3920252,190482565.02
2026-04-09,49.0,49.91,48.58,48.77,2796605,137596122.93
2026-04-10,49.47,49.8,48.78,48.93,2392618,117921644.96
2026-04-13,48.86,49.6,48.5,49.0,1954089,95941753.7
2026-04-14,49.66,51.0,49.3,51.0,3260916,164017836.93
2026-04-15,51.2,51.61,50.1,50.21,2984950,151273702.95
2026-04-16,50.2,50.67,49.65,50.32,1897683,95299929.28
2026-04-17,50.07,51.15,49.97,50.69,2616031,132462240.98
2026-04-20,50.61,50.98,49.9,50.16,2690096,135445332.13
2026-04-21,50.47,50.75,49.68,50.55,2890034,145418742.63
2026-04-22,50.6,51.89,50.3,51.44,4097430,210006749.75
2026-04-23,52.17,53.58,50.44,50.59,4825004,250829591.62
2026-04-24,49.8,51.5,49.61,50.04,2837275,143194028.44
2026-04-27,50.02,52.05,50.0,51.35,3705211,190261753.95
2026-04-28,50.86,50.9,48.1,49.25,4472043,221092244.14
2026-04-29,48.69,49.69,47.9,49.06,2833575,138375512.44
2026-04-30,49.55,50.78,49.4,50.46,3166381,158716787.39
2026-05-06,51.51,53.1,51.0,51.88,4507804,235478960.95
2026-05-07,52.28,53.62,51.83,53.39,4634072,245446296.0
2026-05-08,52.59,54.68,51.91,54.56,5538853,296015010.23
2026-05-11,55.5,57.31,54.8,57.3,9034285,508447705.09
2026-05-12,56.53,59.66,55.6,57.39,7226786,415153642.19
2026-05-13,60.21,64.25,60.21,61.79,12903581,805618256.78
2026-05-14,60.0,62.59,58.2,59.0,10129038,610531784.43
2026-05-15,58.71,62.99,58.71,60.03,9382710,570402114.95
2026-05-18,62.95,70.0,60.12,65.25,16944580,1090206246.55
2026-05-19,63.0,63.37,60.55,62.31,12272212,761678228.87
2026-05-20,64.88,66.11,61.81,65.5,11794279,754809325.06
2026-05-21,64.97,66.83,57.58,58.21,12575877,790078901.93
2026-05-22,58.82,60.46,58.22,59.7,8190946,486478805.13
2026-05-25,60.5,62.59,58.7,61.88,9032063,548826804.9
2026-05-26,61.02,61.27,55.58,57.42,10698844,613707376.9
2026-05-27,58.0,58.99,54.68,55.04,7426618,420229815.24
2026-05-28,54.81,57.18,53.77,56.59,6268108,351207034.88
2026-05-29,57.0,57.75,51.81,52.37,6441048,346900612.78
2026-06-01,52.5,52.89,50.51,50.77,4401900,226698842.38
2026-06-02,51.49,51.49,48.93,49.6,4485787,224699358.67
2026-06-03,49.61,51.44,49.1,49.99,4932274,248817004.98
2026-06-04,49.89,50.88,48.94,50.3,4765321,239552116.1
2026-06-05,49.6,53.11,47.9,51.35,7004532,358075672.45
2026-06-08,47.8,50.27,47.57,48.86,4485505,220386295.98
2026-06-09,49.74,52.98,49.22,52.86,6418569,331313091.89
2026-06-10,52.21,54.87,52.0,54.46,7361574,395375311.58
2026-06-11,53.0,58.36,53.0,57.52,10255572,576749360.87
2026-06-12,58.78,59.37,54.11,54.12,10869950,613953646.75
2026-06-15,54.54,55.58,52.91,54.99,7041348,385580409.64
2026-06-16,54.55,56.18,54.22,55.85,7164929,397114641.96
2026-06-17,54.83,60.48,54.54,59.18,9865224,566935083.85
2026-06-18,58.9,60.54,57.99,58.31,8074475,474974404.8
2026-06-22,58.24,60.3,57.81,59.5,8763651,516643257.54
2026-06-23,61.7,62.25,57.66,58.9,7683057,458671733.45
2026-06-24,57.98,62.35,55.79,62.13,11090987,665302161.16
2026-06-25,63.38,65.0,61.0,62.97,11710742,736578088.14
2026-06-26,62.01,67.31,61.63,63.16,10156580,652321023.08
2026-06-29,65.5,75.79,65.5,71.02,17129244,1216437488.55
