序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,603626,科森科技,15.26,61.14%,82.54%,-992000000.0
2,605303,园林股份,20.04,61.09%,42.83%,-315000000.0
3,300767,震安科技,25.34,53.11%,89.87%,200000000.0
4,2177,御银股份,10.0,46.20%,121.59%,-1076000000.0
5,605028,世茂能源,29.55,46.00%,24.35%,-318000000.0
6,688702,盛科通信,130.0,43.95%,24.43%,-23903900.0
7,603101,汇嘉时代,11.45,43.48%,46.54%,-112999999.99999999
8,688577,浙海德曼,94.71,43.22%,18.05%,202000000.0
9,688521,芯原股份,149.82,41.79%,30.09%,307000000.0
10,300147,ST香雪,10.74,40.39%,44.78%,200000000.0
11,688519,南亚新材,75.75,39.48%,34.02%,-157000000.0
12,688319,欧林生物,33.17,38.27%,21.43%,200999999.99999997
13,688709,成都华微,47.04,36.23%,41.52%,124000000.0
14,2190,成飞集成,48.79,35.53%,72.57%,-707000000.0
15,300598,诚迈科技,59.35,34.92%,88.54%,-53667299.99999999
16,688256,寒武纪,1243.2,34.59%,14.42%,2991000000.0
17,617,中油资本,11.96,34.38%,20.69%,-2305000000.0
18,2052,同洲电子,20.25,34.28%,63.32%,-652000000.0
19,300730,科创信息,23.72,33.94%,214.55%,-254999999.99999997
20,2657,中科金财,47.17,33.55%,134.12%,-303000000.0
21,300153,科泰电源,47.21,32.28%,97.94%,305000000.0
22,63,中兴通讯,46.55,32.21%,46.90%,8055000000.0
23,603657,春光科技,44.46,32.20%,25.98%,-4696000.0
24,301165,锐捷网络,90.15,32.17%,98.17%,336000000.0
25,301128,强瑞技术,98.32,32.13%,66.72%,85739800.0
26,2871,伟隆股份,18.43,31.27%,105.63%,-18929900.0
27,688205,德科立,90.43,30.87%,46.22%,146000000.0
28,301002,崧盛股份,30.72,30.78%,59.77%,45715900.0
29,688167,炬光科技,130.0,30.59%,46.08%,359000000.0
30,600156,华升股份,9.5,30.32%,46.51%,-51536500.0
31,300995,奇德新材,60.38,30.05%,59.20%,47139700.0
32,300642,透景生命,25.97,29.53%,95.50%,98430300.0
33,300328,宜安科技,17.69,28.84%,115.26%,130000000.0
34,300803,指南针,141.33,28.63%,73.26%,1668000000.0
35,688489,三未信安,54.82,28.53%,46.14%,-79106200.0
36,2553,南方精工,34.34,28.42%,148.83%,-39696600.0
37,300004,南风股份,10.75,28.28%,111.13%,294000000.0
38,3009,中天火箭,62.54,28.23%,49.00%,-68008100.0
39,300049,福瑞股份,64.32,28.23%,61.49%,-421000000.0
40,600651,飞乐音响,7.9,27.83%,26.38%,-264000000.0
41,2272,川润股份,18.98,27.47%,169.47%,-1379000000.0
42,300893,松原安全,33.07,27.34%,36.59%,-167000000.0
43,2212,天融信,10.15,27.19%,23.62%,-1044000000.0
44,688652,京仪装备,79.99,26.21%,24.69%,190000000.0
45,688220,翱捷科技,113.45,26.13%,23.98%,473000000.00000006
46,300843,胜蓝股份,56.62,26.05%,69.70%,25339500.0
47,688372,伟测科技,80.62,25.42%,71.32%,657000000.0
48,600107,ST尔雅,5.43,25.40%,12.89%,-22619500.0
49,2378,章源钨业,12.16,25.23%,40.76%,-1016000000.0
50,2953,日丰股份,13.71,25.21%,54.41%,-75534800.0
51,799,酒鬼酒,63.34,25.10%,53.69%,-189000000.0
52,603021,ST华鹏,4.83,24.81%,26.94%,-14948100.0
53,301052,果麦文化,78.12,24.79%,46.96%,109000000.00000001
54,300499,高澜股份,32.16,24.75%,159.97%,-372000000.0
55,300323,华灿光电,9.73,24.27%,72.14%,331000000.0
56,300113,顺网科技,27.24,24.16%,40.79%,444000000.00000006
57,688007,光峰科技,20.56,24.00%,33.13%,271000000.0
58,688502,茂莱光学,438.0,23.92%,46.23%,102000000.0
59,2164,宁波东力,12.89,23.82%,103.34%,-405000000.0
60,1298,好上好,38.74,23.81%,146.27%,-405000000.0
61,3020,立方制药,38.48,23.69%,58.98%,5752800.0
62,603083,剑桥科技,66.25,23.65%,86.11%,-100000000.0
63,688798,艾为电子,93.82,23.64%,37.06%,118000000.0
64,300854,中兰环保,20.46,23.63%,50.92%,27110300.000000004
65,300418,昆仑万维,44.38,23.48%,35.45%,2296000000.0
66,688343,云天励飞,79.09,23.39%,41.66%,-340000000.0
67,603256,宏和科技,40.5,23.25%,21.82%,-202999999.99999997
