序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2024预测每股收益,2025预测每股收益,2026预测每股收益,2027预测每股收益
1,600519,贵州茅台,46,36.0,10.0,0.0,0.0,0.0,68.857460146187,74.59347826087,80.23747826087,86.278266666667
2,000858,五粮液,45,35.0,10.0,0.0,0.0,0.0,8.206179627863,8.180444444444,8.536,9.067954545455
3,600600,青岛啤酒,42,31.0,11.0,0.0,0.0,0.0,3.185012526213,3.490952380952,3.768292682927,4.0375
4,600809,山西汾酒,41,34.0,7.0,0.0,0.0,0.0,10.035445386832,10.192609756098,10.914658536585,11.983275
5,000568,泸州老窖,40,32.0,8.0,0.0,0.0,0.0,9.153145635947,8.666325,9.21455,10.031794871795
6,002891,中宠股份,40,26.0,14.0,0.0,0.0,0.0,1.293795250039,1.520804878049,1.905780487805,2.402275
7,603605,珀莱雅,39,31.0,8.0,0.0,0.0,0.0,3.919128667326,4.532615384615,5.198820512821,5.879447368421
8,603288,海天味业,39,23.0,16.0,0.0,0.0,0.0,1.084127777183,1.226076923077,1.355763157895,1.487162162162
9,603986,兆易创新,39,29.0,10.0,0.0,0.0,0.0,1.652299113629,2.359179487179,3.114743589744,3.928921052632
10,605499,东鹏饮料,38,26.0,12.0,0.0,0.0,0.0,6.397357089996,8.686684210526,11.093131578947,13.699486486487
11,002847,盐津铺子,37,32.0,5.0,0.0,0.0,0.0,2.346017417375,2.958486486486,3.675675675676,4.455361111111
12,600426,华鲁恒升,36,28.0,8.0,0.0,0.0,0.0,1.838054139188,1.742361111111,2.088027777778,2.387742857143
13,000596,古井贡酒,36,27.0,9.0,0.0,0.0,0.0,10.437478382709,10.631416666667,11.536833333333,12.803942857143
14,603369,今世缘,36,28.0,8.0,0.0,0.0,0.0,2.736545690855,2.491361111111,2.671444444444,2.943285714286
15,600887,伊利股份,36,27.0,9.0,0.0,0.0,0.0,1.336344350652,1.777916666667,1.937114285714,2.085794117647
16,300760,迈瑞医疗,36,30.0,6.0,0.0,0.0,0.0,9.623959740853,9.875918918919,11.338756756757,13.030277777778
17,688271,联影医疗,34,20.0,13.0,1.0,0.0,0.0,1.531101402453,2.318529411765,2.88,3.552727272727
