序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
2,601026,道生天合,29.68,396.32%,79.61%,210000000.0
8,601212,白银有色,6.53,73.67%,62.78%,252000000.0
12,2320,海峡股份,14.0,58.37%,41.40%,334000000.0
18,301292,海科新源,26.02,44.80%,284.01%,352000000.0
20,506,招金黄金,14.65,43.21%,93.31%,463999999.99999994
24,300588,熙菱信息,27.71,40.23%,85.52%,165000000.0
34,300096,ST易联众,8.5,36.00%,67.96%,17529700.0
36,2082,万邦德,15.25,35.44%,55.90%,135000000.0
39,600,建投能源,9.43,34.14%,55.92%,330000000.0
40,6,深振业A,12.24,31.90%,82.36%,57218700.0
54,300774,倍杰特,14.66,28.48%,166.58%,85884000.0
67,605008,长鸿高科,17.43,25.22%,10.97%,77107600.0
69,300483,首华燃气,15.15,25.00%,105.41%,182000000.0
71,417,合百集团,7.31,24.53%,77.89%,139000000.0
80,600201,生物股份,10.79,23.88%,57.56%,166000000.0
84,300642,透景生命,28.18,23.43%,112.52%,138000000.0
86,2963,豪尔赛,15.92,23.32%,60.79%,77534800.0
87,300055,万邦达,6.94,22.83%,42.54%,74236700.0
90,300389,艾比森,20.1,22.26%,43.29%,133000000.0
91,2716,湖南白银,8.04,22.19%,134.49%,596000000.0
94,2407,多氟多,20.27,21.60%,141.00%,505999999.99999994
95,600711,盛屯矿业,10.45,21.51%,103.22%,26315000.0
103,600121,郑州煤电,4.95,20.44%,65.26%,296000000.0
105,600496,精工钢构,4.24,20.11%,32.40%,174000000.0
113,600595,中孚实业,6.06,19.06%,31.78%,244000000.0
119,300368,汇金股份,18.31,18.51%,242.69%,112999999.99999999
122,2811,郑中设计,13.73,18.36%,58.63%,59800900.0
124,301027,华蓝集团,19.23,18.34%,140.28%,86489500.0
126,300490,华自科技,12.87,18.29%,171.09%,217000000.0
135,603861,白云电器,12.22,17.39%,57.84%,61574700.0
136,300086,康芝药业,7.85,17.34%,118.13%,149000000.0
