序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
1,601026,道生天合,29.68,396.32%,79.61%,210000000.0
2,300588,熙菱信息,27.71,37.04%,47.62%,163000000.0
9,300111,向日葵,8.49,25.59%,80.76%,286000000.0
11,2370,亚太药业,7.75,24.20%,41.67%,46345100.0
17,2320,海峡股份,14.0,21.42%,17.02%,39684700.0
18,300389,艾比森,20.1,21.23%,18.09%,103000000.0
21,300642,透景生命,28.18,20.32%,59.59%,113999999.99999999
31,601212,白银有色,6.53,18.08%,24.83%,561000000.0
33,600179,安通控股,4.28,17.26%,10.53%,153000000.0
43,14,沙河股份,23.53,15.51%,29.00%,38457600.0
45,300237,ST美晨,2.5,14.68%,25.09%,58243500.0
64,600,建投能源,9.43,12.26%,28.32%,99438300.0
66,603861,白云电器,12.22,12.11%,38.92%,65915900.0
68,300980,祥源新材,29.46,11.89%,43.89%,54969399.99999999
69,301010,晶雪节能,21.3,11.69%,16.34%,3255400.0
72,600730,中国高科,9.0,11.39%,13.97%,50052600.0
74,300302,同有科技,22.51,11.38%,50.62%,368000000.0
80,301207,华兰疫苗,19.49,10.80%,4.19%,73562600.0
82,300486,东杰智能,21.0,10.70%,21.62%,15046300.000000002
84,600496,精工钢构,4.24,10.42%,20.69%,74548600.0
89,300086,康芝药业,7.85,10.25%,48.31%,118000000.0
90,600121,郑州煤电,4.95,10.24%,37.87%,125000000.0
91,2047,*ST宝鹰,2.41,10.05%,3.80%,25653200.0
92,301348,蓝箭电子,24.69,9.98%,58.94%,204000000.0
95,301069,凯盛新材,23.98,9.85%,15.77%,90705400.00000001
98,2626,金达威,21.61,9.70%,9.62%,133000000.0
103,601111,中国国航,8.46,9.44%,3.29%,811999999.9999999
105,603901,永创智能,12.03,9.36%,22.23%,33389500.0
109,2928,华夏航空,10.68,9.20%,9.98%,36615600.0
110,688236,春立医疗,24.85,9.18%,3.42%,10274600.0
111,1234,泰慕士,29.04,9.17%,26.72%,19255900.0
112,603069,海汽集团,24.3,9.16%,18.87%,64468500.0
113,300096,ST易联众,8.5,9.11%,14.33%,12901300.000000002
119,300878,维康药业,23.39,8.79%,10.80%,40613600.0
121,300448,浩云科技,7.33,8.75%,38.52%,173000000.0
122,300093,*ST金刚,13.8,8.75%,5.14%,13001300.000000002
123,600515,海南机场,4.5,8.70%,7.73%,420000000.0
124,300983,尤安设计,24.51,8.69%,8.39%,11515400.0
131,601898,中煤能源,13.29,8.49%,2.18%,97243600.0
132,300933,中辰股份,9.48,8.47%,28.20%,91855700.0
135,600595,中孚实业,6.06,8.41%,15.55%,136000000.0
136,3016,欣贺股份,8.93,8.37%,12.20%,12774800.0
137,2963,豪尔赛,15.92,8.30%,25.83%,8001400.0
142,600513,联环药业,20.54,8.11%,39.58%,8552500.0
143,908,ST景峰,6.28,8.09%,8.90%,30182100.0
144,688697,纽威数控,15.79,8.00%,8.74%,65129600.0
145,2967,广电计量,20.58,7.97%,11.58%,77454500.0
146,600115,中国东航,4.48,7.95%,3.30%,664000000.0
149,603365,水星家纺,18.24,7.93%,6.63%,75832100.0
150,566,海南海药,5.89,7.88%,13.90%,101000000.0
156,300006,莱美药业,4.65,7.64%,14.81%,46846000.0
157,300158,振东制药,7.06,7.62%,27.21%,66730900.0
160,300150,世纪瑞尔,5.92,7.25%,25.01%,54856500.0
163,601718,际华集团,3.86,7.22%,7.25%,91331200.00000001
167,603885,吉祥航空,14.1,7.14%,4.09%,175000000.0
168,688221,前沿生物,14.59,7.12%,18.69%,42370900.0
171,688310,迈得医疗,20.07,7.04%,11.06%,3109600.0
172,300159,*ST新研,2.91,6.99%,9.05%,13868800.000000002
177,2759,天际股份,24.16,6.90%,89.03%,94608000.0
178,601288,农业银行,7.62,6.87%,0.52%,2277000000.0
179,2163,海南发展,10.89,6.87%,23.24%,136000000.0
180,300235,方直科技,12.92,6.78%,25.35%,61775800.0
181,600712,南宁百货,7.11,6.76%,15.20%,42119300.0
182,2603,以岭药业,16.94,6.74%,7.33%,289000000.0
188,603196,日播时尚,23.04,6.67%,7.17%,32998400.0
190,2077,大港股份,16.73,6.63%,20.45%,199000000.0
191,301231,荣信文化,24.71,6.55%,18.63%,16382400.0
192,2787,华源控股,9.43,6.55%,37.41%,79277600.0
196,300379,*ST东通,2.32,6.42%,49.35%,6687400.0
199,2397,梦洁股份,3.86,6.34%,12.19%,54603100.00000001
201,601089,福元医药,23.35,6.33%,7.09%,25451500.0
203,688382,益方生物,28.27,6.28%,14.15%,36933400.0
208,2820,桂发祥,12.86,6.11%,24.76%,25709800.0
209,933,神火股份,22.48,6.09%,9.42%,250000000.0
212,2973,侨银股份,15.83,6.03%,10.79%,38688600.0
213,605555,德昌股份,17.25,6.02%,5.55%,64996000.0
215,957,中通客车,12.24,5.97%,35.20%,174000000.0
216,2718,友邦吊顶,24.17,5.96%,18.07%,17275500.0
218,300414,中光防雷,13.2,5.94%,27.35%,43768000.0
221,2497,雅化集团,15.85,5.88%,18.73%,319000000.0
223,300708,聚灿光电,9.39,5.86%,29.50%,295000000.0
224,600624,ST复华,5.25,5.85%,9.02%,7498000.0
230,603189,网达软件,22.23,5.66%,18.96%,59040800.0
231,2181,粤传媒,8.64,5.62%,19.75%,70979400.0
233,600756,浪潮软件,16.19,5.61%,26.78%,54150400.0
235,2790,瑞尔特,7.9,5.61%,9.39%,35404100.0
236,300199,翰宇药业,21.34,5.59%,26.87%,21846400.0
238,600037,歌华有线,8.18,5.55%,5.22%,68427600.0
239,603037,凯众股份,14.09,5.54%,17.89%,13872800.0
240,601969,海南矿业,9.15,5.54%,7.74%,128000000.0
241,603608,天创时尚,7.69,5.49%,8.35%,20489300.0
243,603558,健盛集团,10.65,5.45%,6.57%,30613400.0
246,300082,奥克股份,8.33,5.44%,10.15%,57573900.0
248,2807,江阴银行,4.87,5.41%,5.57%,158000000.0
249,796,凯撒旅业,6.24,5.41%,25.03%,114999999.99999999
251,2716,湖南白银,8.04,5.37%,38.77%,63205000.0
252,2317,众生药业,17.45,5.37%,20.00%,96400.0
253,300061,旗天科技,11.66,5.33%,9.87%,45636700.0
255,600897,厦门空港,15.33,5.29%,4.20%,40091000.0
257,601225,陕西煤业,22.45,5.25%,2.01%,554000000.0
258,300515,三德科技,20.64,5.25%,13.50%,35034800.0
260,600578,京能电力,4.62,5.24%,3.48%,91068100.0
261,300042,朗科科技,28.73,5.24%,35.01%,170000000.0
263,600557,康缘药业,15.77,5.20%,8.66%,44529300.0
264,567,海德股份,7.13,5.16%,7.27%,102000000.0
265,300076,GQY视讯,6.53,5.15%,15.96%,62951500.0
267,2703,浙江世宝,13.39,5.10%,26.70%,117000000.0
268,595,*ST宝实,4.99,5.05%,3.53%,16507400.0
272,2010,传化智联,6.49,5.02%,9.42%,134000000.00000001
