股票代码,股票名称
600019,宝钢股份
600031,三一重工
601928,凤凰传媒
002354,天娱数科
002007,华兰生物
001289,龙源电力
000837,秦川机床
000048,京基智农
002414,高德红外
002600,领益智造
002206,海 利 得
603899,晨光股份
000848,承德露露
000338,潍柴动力
002283,天润工业
002351,漫步者
000708,中信特钢
600750,华润江中
603515,欧普照明
002250,联化科技
600085,同仁堂
002158,汉钟精机
601001,晋控煤业
002225,濮耐股份
600662,外服控股
000060,中金岭南
002531,天顺风能
600729,重庆百货
002765,蓝黛科技
601633,长城汽车
002690,美亚光电
002534,西子洁能
000630,铜陵有色
002438,江苏神通
000581,威孚高科
000997,新 大 陆
601107,四川成渝
002203,海亮股份
603936,博敏电子
600741,华域汽车
002064,华峰化学
600987,航民股份
002292,奥飞娱乐
002590,万安科技
002045,国光电器
603303,得邦照明
603317,天味食品
002041,登海种业
000528,柳    工
603766,隆鑫通用
603611,诺力股份
603890,春秋电子
600546,山煤国际
600642,申能股份
002130,沃尔核材
002011,盾安环境
600104,上汽集团
600761,安徽合力
002245,蔚蓝锂芯
600398,海澜之家
600601,方正科技
001286,陕西能源
002236,大华股份
601033,永兴股份
000655,金岭矿业
601020,华钰矿业
002508,老板电器
603848,好太太
002249,大洋电机
600694,大商股份
002079,苏州固锝
601006,大秦铁路
605377,华旺科技
600021,上海电力
600219,南山铝业
000887,中鼎股份
603218,日月股份
002626,金达威
603027,千禾味业
600230,沧州大化
600007,中国国贸
603477,巨星农牧
601677,明泰铝业
600188,兖矿能源
600888,新疆众和
603013,亚普股份
603279,景津装备
600348,华阳股份
603187,海容冷链
002675,东诚药业
603993,洛阳钼业
002324,普利特
600885,宏发股份
002299,圣农发展
002867,周大生
600098,广州发展
002568,百润股份
000625,长安汽车
002056,横店东磁
605319,无锡振华
002241,歌尔股份
603075,热威股份
600874,创业环保
605009,豪悦护理
002271,东方雨虹
603601,再升科技
600578,京能电力
002741,光华科技
600460,士兰微
002967,广电计量
600637,东方明珠
000932,华菱钢铁
002003,伟星股份
601233,桐昆股份
000876,新 希 望
603008,喜临门
002322,理工能科
600872,中炬高新
603060,国检集团
600499,科达制造
601369,陕鼓动力
001979,招商蛇口
002396,星网锐捷
002334,英威腾
000973,佛塑科技
002550,千红制药
002035,华帝股份
601179,中国西电
000700,模塑科技
000811,冰轮环境
600583,海油工程
605183,确成股份
000550,江铃汽车
000099,中信海直
002043,兔 宝 宝
600845,宝信软件
000582,北部湾港
603100,川仪股份
600459,贵研铂业
600985,淮北矿业
002185,华天科技
000726,鲁  泰Ａ
002659,凯文教育
002871,伟隆股份
600089,特变电工
002233,塔牌集团
002648,卫星化学
600977,中国电影
000957,中通客车
002530,金财互联
000828,东莞控股
