股票代码,股票名称,最新价,最新换手率%,近5日换手均值%,最新成交额,成交额放大倍数,5日涨跌幅%,20日涨跌幅%,距20日高点比,题材命中数,题材标签,综合分
sh.600713,南京医药,6.05,8.27,5.34,630067757.0,3.21,10.2,12.24,1.0,0,,57.99
sh.600382,广东明珠,9.44,6.18,3.38,405494598.0,2.56,10.93,8.63,1.0,0,,53.89
sh.600749,西藏旅游,16.99,12.98,4.26,504096858.0,7.76,5.72,2.41,1.0,0,,51.7
sh.600184,光电股份,20.09,11.36,10.27,1348029433.0,1.29,8.83,12.3,1.0,0,,51.61
sh.600641,先导基电,22.08,8.09,6.97,1634710911.0,1.86,23.98,20.66,1.0,0,,51.53
sh.600110,诺德股份,9.88,17.81,17.37,3167200425.0,1.16,5.78,20.19,0.972,0,,49.1
sh.600232,金鹰股份,8.59,6.0,2.63,186127757.0,3.21,6.58,7.64,0.978,0,,48.71
sh.600707,彩虹股份,7.02,2.58,1.08,647087188.0,5.58,26.49,9.35,1.0,0,,45.68
sh.600302,标准股份,12.32,4.18,4.89,178819044.0,1.15,10.49,19.26,0.994,0,,44.89
sh.600602,云赛智联,24.08,11.07,12.21,2945529762.0,1.09,8.62,8.32,0.961,0,,44.02
sh.600666,奥瑞德,6.3,23.95,21.9,3751497250.0,0.97,2.11,42.86,0.96,0,,43.34
sh.600539,狮头股份,14.79,12.23,10.35,426034411.0,0.99,4.97,21.33,0.946,0,,43.32
sh.600499,科达制造,18.2,3.14,1.68,1090378652.0,2.4,12.83,1.9,1.0,0,,42.49
sh.600186,莲花控股,7.43,10.41,9.36,1406929266.0,0.94,4.94,15.55,0.974,0,,42.02
sh.600106,重庆路桥,6.18,2.97,2.61,241775998.0,2.13,15.73,2.49,1.0,0,,40.9
sh.600699,均胜电子,26.33,3.21,3.23,1155338075.0,1.17,4.36,1.27,0.989,1,军工,40.86
sh.600176,中国巨石,29.19,2.88,2.35,3351855113.0,1.69,13.89,10.15,1.0,0,,39.27
sh.600573,惠泉啤酒,12.73,3.89,4.11,123848844.0,1.25,4.69,4.43,1.0,0,,35.54
sh.600071,凤凰光学,20.71,2.39,3.35,139107768.0,1.15,8.49,1.87,0.986,0,,34.99
sh.600056,中国医药,10.97,4.12,7.22,669798944.0,0.98,4.08,3.78,0.947,0,,29.71
